RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 341 - 341 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 15:06:55,1990-01-01 02:00:00,1990-01-01 05:06:55,171.46114759,275.94052098,186.91358208,,,,,341,1,TWP31056,2013-07-31 00:00:00,,TWN31056,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 342 - 342 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 15:00:30,1990-01-01 02:00:00,1990-01-01 05:00:30.000001,165.42122956,266.22019571,180.50140599,,,,,342,1,TWP31057,2013-07-31 00:00:00,,TWN31057,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 343 - 343 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 20:13:15,1990-01-01 02:00:00,1990-01-01 10:13:15,474.27759165,763.277323,493.25093439,,,,,343,1,TWP31058,2013-07-31 00:00:00,,TWN31058,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 344 - 344 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 20:37:37,1990-01-01 02:00:00,1990-01-01 10:37:37,490.77458023,789.82670571,517.62091682,,,,,344,1,TWP31059,2013-07-31 00:00:00,,TWN31059,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 345 - 345 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 20:51:59,1990-01-01 02:00:00,1990-01-01 10:51:59.000001,505.6386343,813.74812977,531.98286003,,,,,345,1,TWP31060,2013-07-31 00:00:00,,TWN31060,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 346 - 346 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 20:24:16,1990-01-01 02:00:00,1990-01-01 10:24:16,482.41860866,776.3790461,504.26418811,,,,,346,1,TWP31061,2013-07-31 00:00:00,,TWN31061,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 347 - 347 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 20:14:59,1990-01-01 02:00:00,1990-01-01 10:14:59,483.15195612,777.5592568,494.98458676,,,,,347,1,TWP31062,2013-07-31 00:00:00,,TWN31062,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 348 - 348 - Gympie Hospital,1990-01-01 12:00:00,1990-01-02 01:43:37,1990-01-01 02:00:00,1990-01-01 15:43:37,813.65988717,1309.46127638,823.62316738,,,,,348,1,TWP31063,2013-07-31 00:00:00,,TWN31063,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 349 - 349 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 22:35:39,1990-01-01 02:00:00,1990-01-01 12:35:39.000001,612.99541823,986.5224714,635.65559394,,,,,349,1,TWP31064,2013-07-31 00:00:00,,TWN31064,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 35 - 35 - Gympie Hospital,1990-01-01 12:00:00,1990-01-02 05:51:39,1990-01-01 02:00:00,1990-01-01 19:51:39,1007.85895015,1621.99499827,1071.65481162,,,,,35,1,TWP31188,2013-07-31 00:00:00,,TWN31188,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 350 - 350 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 15:55:32,1990-01-01 02:00:00,1990-01-01 05:55:32,221.31688933,356.17572029,235.53541925,,,,,350,1,TWP31065,2013-07-31 00:00:00,,TWN31065,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 351 - 351 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 17:38:00,1990-01-01 02:00:00,1990-01-01 07:38:00.000001,316.60251584,509.5233783,337.99499845,,,,,351,1,TWP31066,2013-07-31 00:00:00,,TWN31066,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
