RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 402 - 402 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:00:49,1990-01-01 02:00:00,1990-01-01 08:00:49,337.12829679,542.55648679,360.81681933,,,,,402,1.0,TWP31117,2013-07-31 00:00:00,,TWN31117,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 403 - 403 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 17:50:24,1990-01-01 02:00:00,1990-01-01 07:50:24,330.34237669,531.63558514,350.39535808,,,,,403,1.0,TWP31118,2013-07-31 00:00:00,,TWN31118,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 404 - 404 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:27:53,1990-01-01 02:00:00,1990-01-01 08:27:53.000001,370.18779951,595.76070553,387.87998722,,,,,404,1.0,TWP31119,2013-07-31 00:00:00,,TWN31119,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 405 - 405 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:52:38,1990-01-01 02:00:00,1990-01-01 08:52:38,393.62569053,633.48041026,412.62976881,,,,,405,1.0,TWP31120,2013-07-31 00:00:00,,TWN31120,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 406 - 406 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 23:39:46,1990-01-01 02:00:00,1990-01-01 13:39:46,662.10891957,1065.56314818,699.77204628,,,,,406,1.0,TWP31121,2013-07-31 00:00:00,,TWN31121,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 407 - 407 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:04:52,1990-01-01 02:00:00,1990-01-01 10:04:52,416.25925129,669.90566833,484.868505,,,,,407,1.0,TWP31122,2013-07-31 00:00:00,,TWN31122,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 408 - 408 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 17:44:03,1990-01-01 02:00:00,1990-01-01 07:44:03.000001,325.20125719,523.36173877,344.04323836,,,,,408,1.0,TWP31123,2013-07-31 00:00:00,,TWN31123,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 409 - 409 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-02 02:58:49,1990-01-01 02:00:00,1990-01-01 16:58:49,855.40176983,1376.63845914,898.81906228,,,,,409,1.0,TWP31124,2013-07-31 00:00:00,,TWN31124,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 41 - 41 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:35:18,1990-01-01 02:00:00,1990-01-01 08:35:18,376.12935468,605.32273083,395.30381723,,,,,41,1.0,TWP31194,2013-07-31 00:00:00,,TWN31194,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 410 - 410 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-02 09:12:09,1990-01-01 02:00:00,1990-01-01 23:12:09.000001,1159.20882348,1865.56949596,1272.14183794,,,,,410,1.0,TWP31125,2013-07-31 00:00:00,,TWN31125,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 411 - 411 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-02 11:20:46,1990-01-01 02:00:00,1990-01-02 01:20:46,1271.93196567,2046.98017132,1400.77040409,,,,,411,1.0,TWP31126,2013-07-31 00:00:00,,TWN31126,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 412 - 412 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 14:20:23,1990-01-01 02:00:00,1990-01-01 04:20:23.000001,129.26240121,208.02808587,140.38123888,,,,,412,1.0,TWP31127,2013-07-31 00:00:00,,TWN31127,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 413 - 413 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 16:24:47,1990-01-01 02:00:00,1990-01-01 06:24:47,251.03070683,403.99556984,264.78621008,,,,,413,1.0,TWP31128,2013-07-31 00:00:00,,TWN31128,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 414 - 414 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:40:48,1990-01-01 02:00:00,1990-01-01 10:40:48,459.32487319,739.21320715,520.79646734,,,,,414,1.0,TWP31129,2013-07-31 00:00:00,,TWN31129,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 415 - 415 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:51:25,1990-01-01 02:00:00,1990-01-01 08:51:25.000001,396.29205931,637.77152344,411.41032365,,,,,415,1.0,TWP31130,2013-07-31 00:00:00,,TWN31130,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 416 - 416 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:00:46,1990-01-01 02:00:00,1990-01-01 09:00:46,391.90805827,630.71614357,420.76158714,,,,,416,1.0,TWP31131,2013-07-31 00:00:00,,TWN31131,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 417 - 417 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 13:35:44,1990-01-01 02:00:00,1990-01-01 03:35:44,91.41181272,147.11334656,95.72858947,,,,,417,1.0,TWP31132,2013-07-31 00:00:00,,TWN31132,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 418 - 418 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-02 05:58:49,1990-01-01 02:00:00,1990-01-01 19:58:49,1061.26981399,1707.95162342,1078.82070905,,,,,418,1.0,TWP31133,2013-07-31 00:00:00,,TWN31133,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 419 - 419 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:23:30,1990-01-01 02:00:00,1990-01-01 10:23:30,483.07638189,777.43763161,503.50083133,,,,,419,1.0,TWP31134,2013-07-31 00:00:00,,TWN31134,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 420 - 420 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-02 00:40:32,1990-01-01 02:00:00,1990-01-01 14:40:32,707.40462598,1138.4596673,760.53595515,,,,,420,1.0,TWP31135,2013-07-31 00:00:00,,TWN31135,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 421 - 421 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 13:50:00,1990-01-01 02:00:00,1990-01-01 03:50:00,105.44988471,169.70547868,110.00304366,,,,,421,1.0,TWP31136,2013-07-31 00:00:00,,TWN31136,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 422 - 422 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:29:00,1990-01-01 02:00:00,1990-01-01 10:29:00,490.4689354,789.33481704,509.00350597,,,,,422,1.0,TWP31137,2013-07-31 00:00:00,,TWN31137,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 423 - 423 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:30:34,1990-01-01 02:00:00,1990-01-01 09:30:34,412.93432549,664.55470823,450.55927396,,,,,423,1.0,TWP31138,2013-07-31 00:00:00,,TWN31138,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 425 - 425 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 23:46:40,1990-01-01 02:00:00,1990-01-01 13:46:40,670.86913869,1079.66138246,706.66031573,,,,,425,1.0,TWP31140,2013-07-31 00:00:00,,TWN31140,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 426 - 426 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:20:29,1990-01-01 02:00:00,1990-01-01 10:20:29,426.52412062,686.42540723,500.47857686,,,,,426,1.0,TWP31141,2013-07-31 00:00:00,,TWN31141,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 427 - 427 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 17:57:30,1990-01-01 02:00:00,1990-01-01 07:57:30,328.73640447,529.05101822,357.49561202,,,,,427,1.0,TWP31142,2013-07-31 00:00:00,,TWN31142,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 428 - 428 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-02 09:04:55,1990-01-01 02:00:00,1990-01-01 23:04:55,1165.71867303,1876.04610422,1264.91008415,,,,,428,1.0,TWP31143,2013-07-31 00:00:00,,TWN31143,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 429 - 429 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:49:47,1990-01-01 02:00:00,1990-01-01 08:49:47,387.27203349,623.25516998,409.78447068,,,,,429,1.0,TWP31144,2013-07-31 00:00:00,,TWN31144,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 43 - 43 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:43:35,1990-01-01 02:00:00,1990-01-01 09:43:35.000001,440.55827192,709.01122958,463.58806472,,,,,43,1.0,TWP31196,2013-07-31 00:00:00,,TWN31196,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 430 - 430 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:59:46.000001,1990-01-01 02:00:00,1990-01-01 08:59:46,397.55336049,639.80139499,419.76983912,,,,,430,1.0,TWP31145,2013-07-31 00:00:00,,TWN31145,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 431 - 431 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:28:31,1990-01-01 02:00:00,1990-01-01 09:28:31,421.53452293,678.39541207,448.51913286,,,,,431,1.0,TWP31146,2013-07-31 00:00:00,,TWN31146,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 432 - 432 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:12:15,1990-01-01 02:00:00,1990-01-01 09:12:15,402.97346945,648.52423227,432.25530527,,,,,432,1.0,TWP31147,2013-07-31 00:00:00,,TWN31147,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 433 - 433 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:32:16,1990-01-01 02:00:00,1990-01-01 09:32:16,425.54343623,684.84714553,452.25924918,,,,,433,1.0,TWP31148,2013-07-31 00:00:00,,TWN31148,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 434 - 434 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:36:40,1990-01-01 02:00:00,1990-01-01 09:36:40,428.08262643,688.93358421,456.66372736,,,,,434,1.0,TWP31149,2013-07-31 00:00:00,,TWN31149,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 435 - 435 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:56:23,1990-01-01 02:00:00,1990-01-01 08:56:23,392.9905827,632.45830124,416.38210507,,,,,435,1.0,TWP31150,2013-07-31 00:00:00,,TWN31150,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 436 - 436 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:27:23,1990-01-01 02:00:00,1990-01-01 08:27:23,369.05589397,593.9390765,387.37549542,,,,,436,1.0,TWP31151,2013-07-31 00:00:00,,TWN31151,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 437 - 437 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:21:31,1990-01-01 02:00:00,1990-01-01 08:21:31.000001,363.1618107,584.45344999,381.51538105,,,,,437,1.0,TWP31152,2013-07-31 00:00:00,,TWN31152,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
