RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 171 - 171 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-01 15:44:23,1990-01-01 02:00:00,1990-01-01 05:44:23,199.05475616,320.34821819,224.38437074,,,,,171.0,1.0,TWP3237,2013-07-31 00:00:00,,TWN3237,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 172 - 172 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-01 16:22:08.000001,1990-01-01 02:00:00,1990-01-01 06:22:08,233.3154879,375.48563154,262.13004486,,,,,172.0,1.0,TWP3238,2013-07-31 00:00:00,,TWN3238,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 173 - 173 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-01 20:15:33,1990-01-01 02:00:00,1990-01-01 10:15:33,461.34560336,742.46526362,495.54711153,,,,,173.0,1.0,TWP3239,2013-07-31 00:00:00,,TWN3239,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 174 - 174 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 05:46:02.000001,1990-01-01 02:00:00,1990-01-01 19:46:02,1019.22018689,1640.27917301,1066.0411557,,,,,174.0,1.0,TWP3241,2013-07-31 00:00:00,,TWN3241,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 176 - 176 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 04:07:29,1990-01-01 02:00:00,1990-01-01 18:07:29,916.91504059,1475.63467036,967.47746225,,,,,176.0,1.0,TWP3243,2013-07-31 00:00:00,,TWN3243,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 177 - 177 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 07:02:24,1990-01-01 02:00:00,1990-01-01 21:02:24,1099.95788981,1770.21417064,1142.40370553,,,,,177.0,1.0,TWP3244,2013-07-31 00:00:00,,TWN3244,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 178 - 178 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 03:41:13,1990-01-01 02:00:00,1990-01-01 17:41:13,895.69928273,1441.49114945,941.22424494,,,,,178.0,1.0,TWP3245,2013-07-31 00:00:00,,TWN3245,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 179 - 179 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 03:36:52,1990-01-01 02:00:00,1990-01-01 17:36:52,892.64086754,1436.56909747,936.86166899,,,,,179.0,1.0,TWP3246,2013-07-31 00:00:00,,TWN3246,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 18 - 18 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 01:14:14,1990-01-01 02:00:00,1990-01-01 15:14:14,750.57556766,1207.93670224,794.22711228,,,,,18.0,1.0,TWP31171,2013-07-31 00:00:00,,TWN31171,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 180 - 180 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 07:01:37,1990-01-01 02:00:00,1990-01-01 21:01:37,1088.7998989,1752.25708901,1141.62197797,,,,,180.0,1.0,TWP3247,2013-07-31 00:00:00,,TWN3247,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 181 - 181 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-01 13:51:43,1990-01-01 02:00:00,1990-01-01 03:51:43,90.97149009,146.40471456,111.71080546,,,,,181.0,1.0,TWP3249,2013-07-31 00:00:00,,TWN3249,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 182 - 182 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-01 13:14:17,1990-01-01 02:00:00,1990-01-01 03:14:17,58.16520081,93.60800414,74.28787679,,,,,182.0,1.0,TWP3250,2013-07-31 00:00:00,,TWN3250,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 183 - 183 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-01 20:04:25,1990-01-01 02:00:00,1990-01-01 10:04:25,451.51933459,726.65138531,484.42089336,,,,,183.0,1.0,TWP3251,2013-07-31 00:00:00,,TWN3251,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 185 - 185 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 06:11:11,1990-01-01 02:00:00,1990-01-01 20:11:11,1051.72375523,1692.58870031,1091.18269137,,,,,185.0,1.0,TWP3253,2013-07-31 00:00:00,,TWN3253,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 186 - 186 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-01 20:05:30,1990-01-01 02:00:00,1990-01-01 10:05:30,452.05848473,727.51906509,485.5026031,,,,,186.0,1.0,TWP3255,2013-07-31 00:00:00,,TWN3255,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 188 - 188 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-01 19:04:05,1990-01-01 02:00:00,1990-01-01 09:04:05,389.79287875,627.31208529,424.078995,,,,,188.0,1.0,TWP3257,2013-07-31 00:00:00,,TWN3257,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 19 - 19 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 03:10:01.000001,1990-01-01 02:00:00,1990-01-01 17:10:01,868.29425799,1397.3869491,910.01126153,,,,,19.0,1.0,TWP31172,2013-07-31 00:00:00,,TWN31172,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 190 - 190 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 00:02:49,1990-01-01 02:00:00,1990-01-01 14:02:49,614.24074486,988.52663435,722.81734109,,,,,190.0,1.0,TWP3259,2013-07-31 00:00:00,,TWN3259,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 191 - 191 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 07:25:56,1990-01-01 02:00:00,1990-01-01 21:25:56,1081.00870786,1739.71835738,1165.93400308,,,,,191.0,1.0,TWP3260,2013-07-31 00:00:00,,TWN3260,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 192 - 192 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 06:59:30,1990-01-01 02:00:00,1990-01-01 20:59:30,1096.51577622,1764.67461471,1139.50308113,,,,,192.0,1.0,TWP3261,2013-07-31 00:00:00,,TWN3261,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 193 - 193 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 04:02:28,1990-01-01 02:00:00,1990-01-01 18:02:28,913.82755943,1470.66584114,962.47076074,,,,,193.0,1.0,TWP3262,2013-07-31 00:00:00,,TWN3262,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
