RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 6 - 6 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:26:08,1990-01-01 02:00:00,1990-01-01 08:26:08.000001,349.41248326,562.32600811,386.13801594,,,,,6,1,TWP31159,2013-07-31 00:00:00,,TWN31159,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 60 - 60 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 14:07:30,1990-01-01 02:00:00,1990-01-01 04:07:30,122.26043959,196.75949842,127.50292075,,,,,60,1,TWP31213,2013-07-31 00:00:00,,TWN31213,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 61 - 61 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:29:56,1990-01-01 02:00:00,1990-01-01 07:29:56,305.84959131,492.21818911,329.9404047,,,,,61,1,TWP31214,2013-07-31 00:00:00,,TWN31214,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 62 - 62 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:28:25,1990-01-01 02:00:00,1990-01-01 07:28:25,304.70526242,490.37656659,328.40953385,,,,,62,1,TWP31215,2013-07-31 00:00:00,,TWN31215,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 63 - 63 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:30:39,1990-01-01 02:00:00,1990-01-01 06:30:39,249.84493745,402.08725519,270.64880466,,,,,63,1,TWP31216,2013-07-31 00:00:00,,TWN31216,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 64 - 64 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:12:07,1990-01-01 02:00:00,1990-01-01 06:12:07,232.56840252,374.28331175,252.12111248,,,,,64,1,TWP31217,2013-07-31 00:00:00,,TWN31217,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 65 - 65 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:58:03,1990-01-01 02:00:00,1990-01-01 06:58:03,269.64567431,433.95351598,298.04575704,,,,,65,1,TWP31218,2013-07-31 00:00:00,,TWN31218,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 66 - 66 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:34:03,1990-01-01 02:00:00,1990-01-01 06:34:03,245.85993986,395.67401041,274.05340707,,,,,66,1,TWP31219,2013-07-31 00:00:00,,TWN31219,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 67 - 67 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:04:33,1990-01-01 02:00:00,1990-01-01 06:04:33,228.37856406,367.54040688,244.5543085,,,,,67,1,TWP31220,2013-07-31 00:00:00,,TWN31220,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 68 - 68 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:03:40.000001,1990-01-01 02:00:00,1990-01-01 06:03:40,226.0144803,363.73577526,243.66777931,,,,,68,1,TWP31221,2013-07-31 00:00:00,,TWN31221,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 69 - 69 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 22:52:00,1990-01-01 02:00:00,1990-01-01 12:52:00,640.89647726,1031.42496315,651.99867619,,,,,69,1,TWP31222,2013-07-31 00:00:00,,TWN31222,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 7 - 7 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:21:44,1990-01-01 02:00:00,1990-01-01 08:21:44,347.59535119,559.40161167,381.73569395,,,,,7,1,TWP31160,2013-07-31 00:00:00,,TWN31160,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 70 - 70 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 15:56:28,1990-01-01 02:00:00,1990-01-01 05:56:28,225.80849608,363.40427513,236.47488102,,,,,70,1,TWP31223,2013-07-31 00:00:00,,TWN31223,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 71 - 71 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:25:25,1990-01-01 02:00:00,1990-01-01 08:25:25.000001,346.36046262,557.41424719,385.41989602,,,,,71,1,TWP31224,2013-07-31 00:00:00,,TWN31224,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 72 - 72 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 21:39:36,1990-01-01 02:00:00,1990-01-01 11:39:36,562.89120924,905.88740202,579.60822084,,,,,72,1,TWP31225,2013-07-31 00:00:00,,TWN31225,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 73 - 73 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 21:28:25,1990-01-01 02:00:00,1990-01-01 11:28:25,553.69298186,891.08426037,568.42007244,,,,,73,1,TWP31226,2013-07-31 00:00:00,,TWN31226,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
