Town_Point,Date_Creat,Date_Retir,Town_Pid,Xcoord,Ycoord,Wkt_Geom,Town_Class,Town_Name,Population,State_Pid,Qld_Town_Point_Shp_Town_Point,Qld_Town_Point_Shp_Date_Creat
TWP31051,31/07/2013,,TWN31051,144.2475,-23.44447,NULL,4,Longreach,3137,3,TWP31051,7/31/2013
TWP31052,31/07/2013,,TWN31052,145.1208,-17.67675,NULL,3,Mount Garnet,245,3,TWP31052,7/31/2013
TWP31053,31/07/2013,,TWN31053,151.1692,-28.85306,NULL,2,Texas,640,3,TWP31053,7/31/2013
TWP31054,31/07/2013,,TWN31054,145.4221,-16.9965,NULL,2,Mareeba,7294,3,TWP31054,7/31/2013
TWP31055,31/07/2013,,TWN31055,145.467,-16.51455,NULL,2,Craiglie,3939,3,TWP31055,7/31/2013
TWP31056,31/07/2013,,TWN31056,151.8191,-27.47543,NULL,1,Kingsthorpe,1598,3,TWP31056,7/31/2013
TWP31057,31/07/2013,,TWN31057,151.9612,-27.50364,NULL,1,Blue Mountain Heights,818,3,TWP31057,7/31/2013
TWP31058,31/07/2013,,TWN31058,149.216,-21.4206,NULL,2,Sarina,3539,3,TWP31058,7/31/2013
TWP31059,31/07/2013,,TWN31059,148.6917,-21.69028,NULL,3,Nebo,459,3,TWP31059,7/31/2013
TWP31060,31/07/2013,,TWN31060,149.1636,-21.05945,NULL,1,Nindaroo,3324,3,TWP31060,7/31/2013
TWP31061,31/07/2013,,TWN31061,149.3095,-21.38995,NULL,2,Sarina Beach,353,3,TWP31061,7/31/2013
TWP31062,31/07/2013,,TWN31062,148.3481,-22.58982,NULL,2,Dysart,3003,3,TWP31062,7/31/2013
TWP31063,31/07/2013,,TWN31063,143.0414,-22.38676,NULL,4,Winton,954,3,TWP31063,7/31/2013
TWP31064,31/07/2013,,TWN31064,148.2418,-20.01494,NULL,2,Bowen,8604,3,TWP31064,7/31/2013
TWP31065,31/07/2013,,TWN31065,151.213,-23.99655,NULL,1,Calliope,3058,3,TWP31065,7/31/2013
TWP31066,31/07/2013,,TWN31066,150.8238,-23.25994,NULL,1,Emu Park,3736,3,TWP31066,7/31/2013
TWP31067,31/07/2013,,TWN31067,150.7919,-23.3275,NULL,2,Keppel Sands,302,3,TWP31067,7/31/2013
TWP31068,31/07/2013,,TWN31068,148.0891,-24.11595,NULL,3,Springsure,839,3,TWP31068,7/31/2013
TWP31069,31/07/2013,,TWN31069,151.2671,-27.87814,NULL,1,Millmerran,1329,3,TWP31069,7/31/2013
TWP31070,31/07/2013,,TWN31070,151.4491,-26.93176,NULL,2,Bell,274,3,TWP31070,7/31/2013
TWP31071,31/07/2013,,TWN31071,150.628,-26.74202,NULL,2,Chinchilla,4780,3,TWP31071,7/31/2013
TWP31072,31/07/2013,,TWN31072,143.5479,-18.29241,NULL,4,Georgetown,243,3,TWP31072,7/31/2013
TWP31073,31/07/2013,,TWN31073,151.261,-27.18328,NULL,1,Dalby,10861,3,TWP31073,7/31/2013
TWP31074,31/07/2013,,TWN31074,151.9132,-27.42327,NULL,1,Meringandan,305,3,TWP31074,7/31/2013
TWP31075,31/07/2013,,TWN31075,141.0761,-17.67331,NULL,4,Normanton,1214,3,TWP31075,7/31/2013
TWP31076,31/07/2013,,TWN31076,140.8383,-17.48673,NULL,4,Karumba,586,3,TWP31076,7/31/2013
TWP31077,31/07/2013,,TWN31077,146.091,-17.91401,NULL,2,Wongaling Beach,1063,3,TWP31077,7/31/2013
TWP31078,31/07/2013,,TWN31078,146.1047,-17.77796,NULL,2,Kurrimine,605,3,TWP31078,7/31/2013
TWP31079,31/07/2013,,TWN31079,146.0299,-17.52363,NULL,2,Innisfail,7176,3,TWP31079,7/31/2013
TWP3108,31/07/2013,,TWN3108,152.2504,-27.5578,NULL,1,Placid Hills,357,3,TWP3108,7/31/2013
TWP31080,31/07/2013,,TWN31080,145.9217,-17.93491,NULL,2,Tully,2262,3,TWP31080,7/31/2013
TWP31081,31/07/2013,,TWN31081,146.0198,-17.35108,NULL,2,Bramston Beach,154,3,TWP31081,7/31/2013
TWP31082,31/07/2013,,TWN31082,148.1138,-21.35315,NULL,2,Glenden,1308,3,TWP31082,7/31/2013
TWP31083,31/07/2013,,TWN31083,148.0456,-22.0039,NULL,2,Moranbah,8626,3,TWP31083,7/31/2013
TWP31084,31/07/2013,,TWN31084,145.4645,-24.42336,NULL,4,Blackall,1218,3,TWP31084,7/31/2013
TWP31085,31/07/2013,,TWN31085,147.6374,-22.82681,NULL,3,Clermont,2177,3,TWP31085,7/31/2013
TWP31086,31/07/2013,,TWN31086,146.8484,-19.15696,NULL,2,Nelly Bay,1055,3,TWP31086,7/31/2013
TWP31087,31/07/2013,,TWN31087,146.5788,-19.14605,NULL,2,Toolakea,284,3,TWP31087,7/31/2013
