Town_Point,Date_Creat,Date_Retir,Town_Pid,Xcoord,Ycoord,Wkt_Geom,Town_Class,Town_Name,Population,State_Pid,Qld_Town_Point_Shp_Town_Point,Qld_Town_Point_Shp_Date_Creat
TWP31219,31/07/2013,,TWN31219,151.9083,-27.92996,NULL,1,Clifton,1188,3,TWP31219,7/31/2013
TWP31220,31/07/2013,,TWN31220,151.8542,-27.65743,NULL,1,Wyreema,1247,3,TWP31220,7/31/2013
TWP31221,31/07/2013,,TWN31221,151.6329,-27.71797,NULL,1,Pittsworth,2968,3,TWP31221,7/31/2013
TWP31222,31/07/2013,,TWN31222,147.1112,-19.40128,NULL,2,Cungulla,260,3,TWP31222,7/31/2013
TWP31223,31/07/2013,,TWN31223,151.9402,-26.24246,NULL,2,Murgon,2092,3,TWP31223,7/31/2013
TWP31224,31/07/2013,,TWN31224,153.0922,-25.90782,NULL,1,Rainbow Beach,1103,3,TWP31224,7/31/2013
TWP31225,31/07/2013,,TWN31225,148.6962,-20.2769,NULL,2,Cannonvale,4886,3,TWP31225,7/31/2013
TWP31226,31/07/2013,,TWN31226,148.6196,-20.37468,NULL,2,Mount Julian,456,3,TWP31226,7/31/2013
TWP31227,31/07/2013,,TWN31227,148.7213,-20.65029,NULL,2,Midge Point,255,3,TWP31227,7/31/2013
TWP31228,31/07/2013,,TWN31228,148.6313,-21.14165,NULL,2,Finch Hatton,260,3,TWP31228,7/31/2013
TWP31229,31/07/2013,,TWN31229,148.9732,-21.26365,NULL,2,Eton,343,3,TWP31229,7/31/2013
TWP31230,31/07/2013,,TWN31230,152.6706,-26.18893,NULL,1,Gympie,17285,3,TWP31230,7/31/2013
TWP31231,31/07/2013,,TWN31231,152.6748,-26.34607,NULL,1,Amamoor,615,3,TWP31231,7/31/2013
TWP31232,31/07/2013,,TWN31232,152.8533,-26.36256,NULL,1,Pomona,1554,3,TWP31232,7/31/2013
TWP31233,31/07/2013,,TWN31233,152.2399,-26.08621,NULL,2,Kilkivan,411,3,TWP31233,7/31/2013
TWP31234,31/07/2013,,TWN31234,150.5751,-24.48738,NULL,2,Thangool,296,3,TWP31234,7/31/2013
TWP31235,31/07/2013,,TWN31235,152.4607,-24.81453,NULL,1,Bargara,6893,3,TWP31235,7/31/2013
TWP31236,31/07/2013,,TWN31236,152.3444,-24.87052,NULL,1,Bundaberg,49750,3,TWP31236,7/31/2013
TWP31237,31/07/2013,,TWN31237,151.9008,-24.21017,NULL,2,Agnes Water,668,3,TWP31237,7/31/2013
TWP31238,31/07/2013,,TWN31238,152.4888,-24.9178,NULL,1,Elliott Heads,762,3,TWP31238,7/31/2013
TWP31239,31/07/2013,,TWN31239,150.6508,-22.85074,NULL,2,Byfield,261,3,TWP31239,7/31/2013
TWP31240,31/07/2013,,TWN31240,149.6687,-23.71846,NULL,3,Duaringa,260,3,TWP31240,7/31/2013
TWP3130,31/07/2013,,TWN3130,142.3701,-10.85188,NULL,4,Seisia,203,3,TWP3130,7/31/2013
TWP3135,31/07/2013,,TWN3135,152.2194,-24.96842,NULL,1,South Bingera,324,3,TWP3135,7/31/2013
TWP3142,31/07/2013,,TWN3142,142.3489,-10.88916,NULL,4,Umagico,281,3,TWP3142,7/31/2013
TWP3146,31/07/2013,,TWN3146,153.0119,-26.43781,NULL,1,Doonan - Tinbeerwah,3574,3,TWP3146,7/31/2013
TWP3152,31/07/2013,,TWN3152,146.6023,-19.32778,NULL,2,Alice River,2107,3,TWP3152,7/31/2013
TWP3153,31/07/2013,,TWN3153,152.9843,-27.86655,NULL,1,Cedar Grove,2020,3,TWP3153,7/31/2013
TWP3154,31/07/2013,,TWN3154,153.002,-27.87876,NULL,1,Cedar Vale,2329,3,TWP3154,7/31/2013
TWP3156,31/07/2013,,TWN3156,152.9618,-27.81259,NULL,0,Jimboomba - West,4634,3,TWP3156,7/31/2013
TWP3157,31/07/2013,,TWN3157,152.4572,-27.53986,NULL,1,Kensington Grove - Regency Downs,3994,3,TWP3157,7/31/2013
TWP3158,31/07/2013,,TWN3158,153.3615,-27.59184,NULL,1,Macleay Island,2572,3,TWP3158,7/31/2013
TWP3159,31/07/2013,,TWN3159,151.8819,-27.41789,NULL,1,Meringandan West,1977,3,TWP3159,7/31/2013
TWP3160,31/07/2013,,TWN3160,153.2508,-27.63515,NULL,0,Mount Cotton,4275,3,TWP3160,7/31/2013
TWP3161,31/07/2013,,TWN3161,152.6725,-27.60325,NULL,0,Walloon,1192,3,TWP3161,7/31/2013
TWP3162,31/07/2013,,TWN3162,146.6058,-18.72665,NULL,3,Palm Island,2336,3,TWP3162,7/31/2013
TWP3163,31/07/2013,,TWN3163,146.6392,-19.31192,NULL,2,Rangewood,1083,3,TWP3163,7/31/2013
TWP3164,31/07/2013,,TWN3164,152.9102,-25.39864,NULL,1,River Heads,1295,3,TWP3164,7/31/2013
TWP3165,31/07/2013,,TWN3165,153.3905,-27.68322,NULL,2,Russell Island,2473,3,TWP3165,7/31/2013
TWP3166,31/07/2013,,TWN3166,152.8394,-27.36508,NULL,0,Samford Valley - Highvale,2129,3,TWP3166,7/31/2013
TWP3167,31/07/2013,,TWN3167,151.8757,-27.60355,NULL,1,Westbrook,2648,3,TWP3167,7/31/2013
TWP3168,31/07/2013,,TWN3168,152.2338,-25.22391,NULL,1,Apple Tree Creek,509,3,TWP3168,7/31/2013
TWP3169,31/07/2013,,TWN3169,152.5384,-27.98409,NULL,1,Aratula,505,3,TWP3169,7/31/2013
TWP3170,31/07/2013,,TWN3170,149.2873,-21.45078,NULL,2,Armstrong Beach,533,3,TWP3170,7/31/2013
TWP3171,31/07/2013,,TWN3171,152.7971,-27.00308,NULL,1,Delaneys Creek,712,3,TWP3171,7/31/2013
TWP3172,31/07/2013,,TWN3172,142.1388,-10.12322,NULL,4,Badu Island,784,3,TWP3172,7/31/2013
TWP3173,31/07/2013,,TWN3173,153.206,-28.09893,NULL,1,Beechmont,510,3,TWP3173,7/31/2013
TWP3174,31/07/2013,,TWN3174,145.9896,-17.51972,NULL,2,Belvedere,852,3,TWP3174,7/31/2013
TWP3175,31/07/2013,,TWN3175,151.3256,-24.00187,NULL,1,Benaraby,840,3,TWP3175,7/31/2013
TWP3176,31/07/2013,,TWN3176,152.8819,-26.40467,NULL,1,Black Mountain,700,3,TWP3176,7/31/2013
TWP3177,31/07/2013,,TWN3177,146.618,-19.23302,NULL,2,Black River,855,3,TWP3177,7/31/2013
TWP3178,31/07/2013,,TWN3178,146.5589,-19.1675,NULL,2,Bluewater,574,3,TWP3178,7/31/2013
TWP3180,31/07/2013,,TWN3180,146.5138,-19.20308,NULL,2,Bluewater Park,903,3,TWP3180,7/31/2013
TWP3181,31/07/2013,,TWN3181,152.9037,-25.36202,NULL,1,Booral,723,3,TWP3181,7/31/2013
TWP3182,31/07/2013,,TWN3182,153.1642,-27.94939,NULL,1,Boyland,542,3,TWP3182,7/31/2013
TWP3184,31/07/2013,,TWN3184,153.3328,-27.56886,NULL,1,Coochiemudlo Island,708,3,TWP3184,7/31/2013
TWP3185,31/07/2013,,TWN3185,152.8647,-26.65557,NULL,1,Flaxton,884,3,TWP3185,7/31/2013
TWP3186,31/07/2013,,TWN3186,152.9413,-26.36638,NULL,1,Forest Acres,594,3,TWP3186,7/31/2013
TWP3188,31/07/2013,,TWN3188,152.9939,-26.35897,NULL,1,Cooroibah,1744,3,TWP3188,7/31/2013
TWP3189,31/07/2013,,TWN3189,152.7546,-27.69709,NULL,0,Deebing Heights,709,3,TWP3189,7/31/2013
TWP3191,31/07/2013,,TWN3191,150.4751,-23.24572,NULL,1,Glendale,561,3,TWP3191,7/31/2013
TWP3192,31/07/2013,,TWN3192,152.9918,-27.94234,NULL,1,Gleneagle,1130,3,TWP3192,7/31/2013
TWP3193,31/07/2013,,TWN3193,152.4122,-27.54114,NULL,1,Glenore Grove,503,3,TWP3193,7/31/2013
TWP3194,31/07/2013,,TWN3194,145.7509,-17.14553,NULL,2,Goldsborough,713,3,TWP3194,7/31/2013
TWP3195,31/07/2013,,TWN3195,152.345,-24.81685,NULL,1,Gooburrum,574,3,TWP3195,7/31/2013
TWP3196,31/07/2013,,TWN3196,151.8928,-27.49125,NULL,1,Gowrie Junction,788,3,TWP3196,7/31/2013
TWP3198,31/07/2013,,TWN3198,153.0204,-26.76952,NULL,1,Glenview,1182,3,TWP3198,7/31/2013
TWP3199,31/07/2013,,TWN3199,152.6324,-25.94735,NULL,1,Glenwood,1259,3,TWP3199,7/31/2013
TWP3201,31/07/2013,,TWN3201,142.2837,-10.60644,NULL,4,Horn Island,539,3,TWP3201,7/31/2013
TWP3202,31/07/2013,,TWN3202,152.8837,-26.60834,NULL,1,Kureelpa,851,3,TWP3202,7/31/2013
TWP3203,31/07/2013,,TWN3203,152.6277,-26.23769,NULL,1,Pie Creek,515,3,TWP3203,7/31/2013
TWP3204,31/07/2013,,TWN3204,153.001,-26.6527,NULL,1,Kiels Mountain,984,3,TWP3204,7/31/2013
TWP3205,31/07/2013,,TWN3205,152.2965,-28.34415,NULL,2,Killarney,773,3,TWP3205,7/31/2013
TWP3207,31/07/2013,,TWN3207,150.7876,-23.2243,NULL,1,Kinka Beach,629,3,TWP3207,7/31/2013
TWP3208,31/07/2013,,TWN3208,152.636,-25.85212,NULL,1,Bauple Forest,277,3,TWP3208,7/31/2013
TWP3210,31/07/2013,,TWN3210,152.3675,-27.63571,NULL,1,Laidley Heights,1180,3,TWP3210,7/31/2013
TWP3211,31/07/2013,,TWN3211,153.1134,-27.77455,NULL,0,Logan Village,1867,3,TWP3211,7/31/2013
TWP3212,31/07/2013,,TWN3212,153.2516,-28.04105,NULL,1,Lower Beechmont,778,3,TWP3212,7/31/2013
TWP3213,31/07/2013,,TWN3213,145.4211,-17.05062,NULL,2,Mareeba - South,522,3,TWP3213,7/31/2013
TWP3214,31/07/2013,,TWN3214,153.2774,-27.93276,NULL,0,Maudsland,722,3,TWP3214,7/31/2013
TWP3215,31/07/2013,,TWN3215,152.5591,-27.5357,NULL,1,Minden Village,737,3,TWP3215,7/31/2013
TWP3216,31/07/2013,,TWN3216,153.2639,-27.97678,NULL,0,Mount Nathan,1282,3,TWP3216,7/31/2013
TWP3217,31/07/2013,,TWN3217,150.7857,-23.19155,NULL,1,Mulambin,613,3,TWP3217,7/31/2013
TWP3218,31/07/2013,,TWN3218,153.0767,-27.86482,NULL,1,Mundoolun,744,3,TWP3218,7/31/2013
TWP3219,31/07/2013,,TWN3219,141.8909,-12.68153,NULL,4,Napranum,852,3,TWP3219,7/31/2013
TWP3220,31/07/2013,,TWN3220,146.9099,-19.37372,NULL,2,Nome,547,3,TWP3220,7/31/2013
TWP3221,31/07/2013,,TWN3221,152.6206,-25.51008,NULL,1,Oakhurst,1180,3,TWP3221,7/31/2013
TWP3222,31/07/2013,,TWN3222,152.955,-26.96138,NULL,1,Beerburrum,286,3,TWP3222,7/31/2013
TWP3223,31/07/2013,,TWN3223,152.5565,-25.26683,NULL,1,Pacific Haven,668,3,TWP3223,7/31/2013
TWP3224,31/07/2013,,TWN3224,149.3067,-21.36404,NULL,2,Grasstree Beach,326,3,TWP3224,7/31/2013
TWP3225,31/07/2013,,TWN3225,152.4165,-27.57656,NULL,1,Plainland,1055,3,TWP3225,7/31/2013
TWP3226,31/07/2013,,TWN3226,141.6245,-14.89198,NULL,4,Pormpuraaw,662,3,TWP3226,7/31/2013
TWP3227,31/07/2013,,TWN3227,151.9905,-27.55295,NULL,1,Prince Henry Heights,511,3,TWP3227,7/31/2013
TWP3228,31/07/2013,,TWN3228,152.7864,-27.66642,NULL,0,Ripley,797,3,TWP3228,7/31/2013
TWP3229,31/07/2013,,TWN3229,152.2587,-24.88377,NULL,1,Sharon,669,3,TWP3229,7/31/2013
TWP3230,31/07/2013,,TWN3230,152.4252,-24.8436,NULL,1,Sloping Hummock,570,3,TWP3230,7/31/2013
TWP3231,31/07/2013,,TWN3231,146.0909,-17.94652,NULL,2,South Mission Beach,775,3,TWP3231,7/31/2013
TWP3232,31/07/2013,,TWN3232,152.7889,-25.35801,NULL,1,Sunshine Acres,808,3,TWP3232,7/31/2013
TWP3233,31/07/2013,,TWN3233,152.6257,-27.62401,NULL,1,Thagoona,722,3,TWP3233,7/31/2013
TWP3234,31/07/2013,,TWN3234,152.5889,-26.19336,NULL,1,The Palms,865,3,TWP3234,7/31/2013
TWP3235,31/07/2013,,TWN3235,145.4506,-17.204,NULL,2,Tolga - West,1150,3,TWP3235,7/31/2013
TWP3236,31/07/2013,,TWN3236,152.8107,-26.70454,NULL,1,Witta,851,3,TWP3236,7/31/2013
TWP3237,31/07/2013,,TWN3237,146.5851,-19.20155,NULL,2,Yabulu,675,3,TWP3237,7/31/2013
TWP3238,31/07/2013,,TWN3238,146.9432,-19.42302,NULL,2,Alligator Creek,348,3,TWP3238,7/31/2013
TWP3239,31/07/2013,,TWN3239,149.1521,-21.20776,NULL,1,Bakers Creek,468,3,TWP3239,7/31/2013
TWP3241,31/07/2013,,TWN3241,152.957,-26.93545,NULL,1,Beerburrum - North,316,3,TWP3241,7/31/2013
TWP3242,31/07/2013,,TWN3242,142.2153,-9.260192,NULL,4,Boigu Island,208,3,TWP3242,7/31/2013
TWP3243,31/07/2013,,TWN3243,152.8771,-25.6788,NULL,1,Boonooroo - Tuan,338,3,TWP3243,7/31/2013
TWP3244,31/07/2013,,TWN3244,152.4916,-27.51975,NULL,1,Brightview,474,3,TWP3244,7/31/2013
TWP3245,31/07/2013,,TWN3245,152.6334,-25.21101,NULL,1,Burrum Heads - East,320,3,TWP3245,7/31/2013
TWP3246,31/07/2013,,TWN3246,152.5934,-25.23535,NULL,1,Burrum Heads - South,354,3,TWP3246,7/31/2013
TWP3247,31/07/2013,,TWN3247,153.3552,-27.73664,NULL,1,Cabbage Tree Point,441,3,TWP3247,7/31/2013
TWP3249,31/07/2013,,TWN3249,146.0461,-17.94788,NULL,2,Carmoo,205,3,TWP3249,7/31/2013
TWP3250,31/07/2013,,TWN3250,146.0431,-17.50908,NULL,2,Coconuts,282,3,TWP3250,7/31/2013
TWP3251,31/07/2013,,TWN3251,149.1071,-21.12326,NULL,2,Erakala,351,3,TWP3251,7/31/2013
TWP3252,31/07/2013,,TWN3252,143.7703,-9.585443,NULL,4,Erub (Darnley) Island,376,3,TWP3252,7/31/2013
TWP3253,31/07/2013,,TWN3253,151.8228,-27.51137,NULL,1,Gowrie Mountain,257,3,TWP3253,7/31/2013
TWP3255,31/07/2013,,TWN3255,148.9879,-20.90075,NULL,2,Haliday Bay - Ball Bay,347,3,TWP3255,7/31/2013
TWP3256,31/07/2013,,TWN3256,142.2047,-10.54803,NULL,4,Hammond Island,225,3,TWP3256,7/31/2013
TWP3257,31/07/2013,,TWN3257,148.4886,-20.08489,NULL,3,Hideaway Bay - Dingo Beach,420,3,TWP3257,7/31/2013
TWP3258,31/07/2013,,TWN3258,142.7744,-9.900403,NULL,4,Iama (Yam) Island,315,3,TWP3258,7/31/2013
TWP3259,31/07/2013,,TWN3259,142.3275,-10.90209,NULL,4,Injinoo,468,3,TWP3259,7/31/2013
TWP3260,31/07/2013,,TWN3260,153.3798,-27.62387,NULL,2,Lamb Island,427,3,TWP3260,7/31/2013
TWP3261,31/07/2013,,TWN3261,152.4579,-27.49448,NULL,1,Lockrose,237,3,TWP3261,7/31/2013
TWP3262,31/07/2013,,TWN3262,152.8722,-25.61156,NULL,1,Maaroom,216,3,TWP3262,7/31/2013
TWP3263,31/07/2013,,TWN3263,142.1829,-9.95718,NULL,4,Mabuiag Island,260,3,TWP3263,7/31/2013
TWP3266,31/07/2013,,TWN3266,144.0504,-9.918105,NULL,4,Mer (Murray) Island,365,3,TWP3266,7/31/2013
TWP3267,31/07/2013,,TWN3267,145.9089,-17.39951,NULL,2,Mirriwinni,220,3,TWP3267,7/31/2013
TWP3268,31/07/2013,,TWN3268,151.6442,-25.18036,NULL,2,Mount Perry,222,3,TWP3268,7/31/2013
TWP3269,31/07/2013,,TWN3269,145.5147,-16.5941,NULL,2,Oak Beach,208,3,TWP3269,7/31/2013
TWP3270,31/07/2013,,TWN3270,151.3025,-23.98485,NULL,1,Wurdong Heights,367,3,TWP3270,7/31/2013
TWP3271,31/07/2013,,TWN3271,152.0567,-27.46123,NULL,1,Murphys Creek,227,3,TWP3271,7/31/2013
TWP3272,31/07/2013,,TWN3272,152.298,-24.85082,NULL,1,Oakwood,341,3,TWP3272,7/31/2013
TWP3273,31/07/2013,,TWN3273,143.4073,-9.750172,NULL,4,Yorke Island,238,3,TWP3273,7/31/2013
TWP3274,31/07/2013,,TWN3274,152.6127,-26.20237,NULL,1,Nahrunda,206,3,TWP3274,7/31/2013
TWP3275,31/07/2013,,TWN3275,152.9052,-25.71673,NULL,1,Poona,384,3,TWP3275,7/31/2013
TWP3276,31/07/2013,,TWN3276,146.6098,-19.15875,NULL,2,Saunders Beach,409,3,TWP3276,7/31/2013
TWP3277,31/07/2013,,TWN3277,147.8184,-20.57206,NULL,3,Scottville,344,3,TWP3277,7/31/2013
TWP3278,31/07/2013,,TWN3278,145.9951,-17.60097,NULL,2,South Johnstone,411,3,TWP3278,7/31/2013
TWP3279,31/07/2013,,TWN3279,151.7128,-27.67579,NULL,1,Southbrook,257,3,TWP3279,7/31/2013
TWP3280,31/07/2013,,TWN3280,144.5225,-17.15243,NULL,4,Chillagoe,192,3,TWP3280,7/31/2013
TWP3282,31/07/2013,,TWN3282,153.2644,-28.18766,NULL,1,Springbrook,270,3,TWP3282,7/31/2013
TWP3283,31/07/2013,,TWN3283,145.61,-17.42092,NULL,2,Tarzali,205,3,TWP3283,7/31/2013
TWP3284,31/07/2013,,TWN3284,146.3273,-18.62407,NULL,3,Taylors Beach,351,3,TWP3284,7/31/2013
TWP3285,31/07/2013,,TWN3285,150.4661,-23.17545,NULL,1,The Caves,401,3,TWP3285,7/31/2013
TWP3286,31/07/2013,,TWN3286,145.4411,-17.15428,NULL,2,Walkamin,255,3,TWP3286,7/31/2013
TWP3287,31/07/2013,,TWN3287,152.771,-25.35161,NULL,1,Walligan,329,3,TWP3287,7/31/2013
TWP3288,31/07/2013,,TWN3288,145.3306,-16.26079,NULL,2,Daintree,146,3,TWP3288,7/31/2013
TWP3290,31/07/2013,,TWN3290,142.8238,-10.20726,NULL,4,Warraber Island,250,3,TWP3290,7/31/2013
TWP3291,31/07/2013,,TWN3291,153.0474,-26.45561,NULL,1,Weyba Downs,313,3,TWP3291,7/31/2013
TWP3292,31/07/2013,,TWN3292,145.3188,-15.94835,NULL,3,Wujal Wujal,270,3,TWP3292,7/31/2013
TWP3704,31/07/2013,,TWN3704,148.1598,-23.52349,NULL,2,Emerald,12895,3,TWP3704,7/31/2013
TWP383,31/07/2013,,TWN383,139.178,-16.65843,NULL,4,Gununa,1126,3,TWP383,7/31/2013
TWP3936,31/07/2013,,TWN3936,148.5651,-25.84311,NULL,4,Injune,398,3,TWP3936,7/31/2013
TWP3937,31/07/2013,,TWN3937,145.4061,-16.425,NULL,2,Newell,328,3,TWP3937,7/31/2013
TWP3938,31/07/2013,,TWN3938,145.3731,-16.46155,NULL,2,Mossman,1732,3,TWP3938,7/31/2013
TWP3939,31/07/2013,,TWN3939,148.3497,-23.03219,NULL,3,Tieri,1486,3,TWP3939,7/31/2013
TWP3940,31/07/2013,,TWN3940,147.6974,-23.42054,NULL,3,Rubyvale,557,3,TWP3940,7/31/2013
TWP3941,31/07/2013,,TWN3941,149.7974,-25.6412,NULL,3,Taroom,585,3,TWP3941,7/31/2013
TWP3942,31/07/2013,,TWN3942,149.8114,-24.17958,NULL,2,Baralaba,261,3,TWP3942,7/31/2013
TWP3943,31/07/2013,,TWN3943,151.2578,-23.84753,NULL,1,Gladstone,32073,3,TWP3943,7/31/2013
TWP3944,31/07/2013,,TWN3944,150.4668,-23.57818,NULL,1,Bouldercombe,698,3,TWP3944,7/31/2013
TWP3945,31/07/2013,,TWN3945,151.1221,-25.37064,NULL,2,Eidsvold,465,3,TWP3945,7/31/2013
TWP3946,31/07/2013,,TWN3946,152.4823,-24.88137,NULL,1,Innes Park,10052,3,TWP3946,7/31/2013
TWP3947,31/07/2013,,TWN3947,150.4558,-23.43865,NULL,1,Gracemere,8159,3,TWP3947,7/31/2013
TWP3948,31/07/2013,,TWN3948,147.1066,-19.51333,NULL,2,Giru,306,3,TWP3948,7/31/2013
TWP3949,31/07/2013,,TWN3949,147.3554,-19.55389,NULL,2,Brandon,823,3,TWP3949,7/31/2013
TWP3950,31/07/2013,,TWN3950,147.4056,-19.57545,NULL,2,Ayr,8392,3,TWP3950,7/31/2013
TWP3951,31/07/2013,,TWN3951,151.9327,-28.65779,NULL,2,Stanthorpe,4955,3,TWP3951,7/31/2013
TWP3952,31/07/2013,,TWN3952,148.5821,-20.40489,NULL,2,Proserpine,3390,3,TWP3952,7/31/2013
TWP3953,31/07/2013,,TWN3953,146.2416,-26.40697,NULL,4,Charleville,3318,3,TWP3953,7/31/2013
TWP3954,31/07/2013,,TWN3954,149.0666,-27.15384,NULL,3,Surat,426,3,TWP3954,7/31/2013
TWP3955,31/07/2013,,TWN3955,148.2271,-28.5841,NULL,4,Dirranbandi,444,3,TWP3955,7/31/2013
TWP3956,31/07/2013,,TWN3956,145.6832,-28.06921,NULL,4,Cunnamulla,1194,3,TWP3956,7/31/2013
TWP3957,31/07/2013,,TWN3957,153.2014,-27.97114,NULL,0,Mount Tamborine,7030,3,TWP3957,7/31/2013
TWP3958,31/07/2013,,TWN3958,153.2054,-27.92251,NULL,0,Eagle Heights,7030,3,TWP3958,7/31/2013
TWP3959,31/07/2013,,TWN3959,152.9992,-27.98632,NULL,1,Beaudesert,5474,3,TWP3959,7/31/2013
TWP3960,31/07/2013,,TWN3960,153.1598,-28.01415,NULL,1,Canungra,746,3,TWP3960,7/31/2013
TWP3961,31/07/2013,,TWN3961,152.6677,-27.81036,NULL,1,Harrisville,427,3,TWP3961,7/31/2013
TWP3962,31/07/2013,,TWN3962,152.6229,-27.94196,NULL,1,Kalbar,723,3,TWP3962,7/31/2013
TWP3963,31/07/2013,,TWN3963,152.7294,-27.78404,NULL,1,Peak Crossing,399,3,TWP3963,7/31/2013
TWP3964,31/07/2013,,TWN3964,152.8635,-28.20976,NULL,1,Rathdowney,434,3,TWP3964,7/31/2013
TWP3965,31/07/2013,,TWN3965,152.3938,-27.63099,NULL,1,Laidley,3253,3,TWP3965,7/31/2013
TWP3966,31/07/2013,,TWN3966,152.2751,-27.56033,NULL,1,Gatton,6178,3,TWP3966,7/31/2013
TWP3967,31/07/2013,,TWN3967,152.2012,-27.57374,NULL,1,Grantham,176,3,TWP3967,7/31/2013
TWP3968,31/07/2013,,TWN3968,152.026,-27.55364,NULL,1,Withcott,1371,3,TWP3968,7/31/2013
TWP3969,31/07/2013,,TWN3969,152.2107,-28.19552,NULL,1,Yangan,225,3,TWP3969,7/31/2013
TWP3970,31/07/2013,,TWN3970,151.9528,-27.56216,NULL,1,Toowoomba,96567,3,TWP3970,7/31/2013
TWP3971,31/07/2013,,TWN3971,151.8615,-27.70633,NULL,1,Cambooya,937,3,TWP3971,7/31/2013
TWP3972,31/07/2013,,TWN3972,151.982,-28.03472,NULL,1,Allora,889,3,TWP3972,7/31/2013
TWP3973,31/07/2013,,TWN3973,151.9565,-26.28971,NULL,2,Cherbourg,1226,3,TWP3973,7/31/2013
TWP3974,31/07/2013,,TWN3974,151.603,-26.16377,NULL,2,Proston,250,3,TWP3974,7/31/2013
TWP3975,31/07/2013,,TWN3975,151.8736,-26.32045,NULL,2,Wondai,1736,3,TWP3975,7/31/2013
TWP3976,31/07/2013,,TWN3976,148.9428,-21.14558,NULL,2,Marian,2256,3,TWP3976,7/31/2013
TWP3977,31/07/2013,,TWN3977,148.7132,-20.26829,NULL,2,Airlie Beach,7868,3,TWP3977,7/31/2013
TWP3978,31/07/2013,,TWN3978,148.7716,-20.89849,NULL,2,Calen,451,3,TWP3978,7/31/2013
TWP3979,31/07/2013,,TWN3979,148.8653,-21.16023,NULL,2,Mirani,1010,3,TWP3979,7/31/2013
TWP3980,31/07/2013,,TWN3980,149.1017,-21.10705,NULL,2,Farleigh,321,3,TWP3980,7/31/2013
TWP3981,31/07/2013,,TWN3981,153.0031,-25.91357,NULL,1,Tin Can Bay,1994,3,TWP3981,7/31/2013
TWP3982,31/07/2013,,TWN3982,152.5881,-26.07081,NULL,1,Curra,1425,3,TWP3982,7/31/2013
TWP3983,31/07/2013,,TWN3983,152.677,-26.46119,NULL,1,Imbil,439,3,TWP3983,7/31/2013
TWP3984,31/07/2013,,TWN3984,152.8222,-26.33805,NULL,1,Cooran,845,3,TWP3984,7/31/2013
TWP3985,31/07/2013,,TWN3985,152.727,-26.59522,NULL,1,Kenilworth,236,3,TWP3985,7/31/2013
TWP3986,31/07/2013,,TWN3986,152.0647,-26.18048,NULL,2,Goomeri,497,3,TWP3986,7/31/2013
TWP3987,31/07/2013,,TWN3987,143.1423,-20.73186,NULL,4,Richmond,522,3,TWP3987,7/31/2013
TWP3988,31/07/2013,,TWN3988,143.6989,-20.9782,NULL,4,Killarney,351,3,TWP3988,7/31/2013
TWP3989,31/07/2013,,TWN3989,139.9082,-22.91287,NULL,4,Boulia,231,3,TWP3989,7/31/2013
TWP3990,31/07/2013,,TWN3990,148.7039,-22.81426,NULL,3,Middlemount,1914,3,TWP3990,7/31/2013
TWP3991,31/07/2013,,TWN3991,151.5583,-24.328,NULL,2,Miriam Vale,423,3,TWP3991,7/31/2013
TWP3992,31/07/2013,,TWN3992,151.8855,-24.16343,NULL,2,Seventeen Seventy,76,3,TWP3992,7/31/2013
TWP3993,31/07/2013,,TWN3993,152.2757,-24.71776,NULL,1,Moore Park,1650,3,TWP3993,7/31/2013
TWP3994,31/07/2013,,TWN3994,152.4149,-24.76892,NULL,1,Burnett Heads,2630,3,TWP3994,7/31/2013
TWP3995,31/07/2013,,TWN3995,151.1207,-24.86547,NULL,2,Monto,1116,3,TWP3995,7/31/2013
TWP3996,31/07/2013,,TWN3996,149.0695,-23.57993,NULL,2,Bluff,370,3,TWP3996,7/31/2013
TWP3997,31/07/2013,,TWN3997,148.8834,-23.5779,NULL,2,Blackwater,4837,3,TWP3997,7/31/2013
TWP3998,31/07/2013,,TWN3998,148.9607,-20.89524,NULL,2,Seaforth,508,3,TWP3998,7/31/2013
TWP3999,31/07/2013,,TWN3999,148.1648,-20.01751,NULL,2,Merinda,264,3,TWP3999,7/31/2013
