"town_name","acute_time","acute_care_transit_location","acute_care_centre"
"Sloping Hummock",291,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Oakwood",286,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Monto",244,"Monto Hospital","Brisbane (PAH/RBWH)"
"Bundaberg",281,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Innes Park",296,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Tambo",369,"Blackall Hospital","Brisbane (PAH/RBWH)"
"Sharon",297,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Elliott Heads",300,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Theodore",229,"Theodore Hospital","Brisbane (PAH/RBWH)"
"South Bingera",295,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Gin Gin",314,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Woodgate",319,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Cordalba",341,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Mount Perry",244,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Burrum Heads",222,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Burrum Heads - East",222,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Apple Tree Creek",313,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Burrum Heads - South",215,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Childers",315,"Bundaberg Hospital","Brisbane (PAH/RBWH)"
"Toogoom",213,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Pacific Haven",222,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Hervey Bay",201,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Howard",218,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Torbanlea",214,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Walligan",203,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Sunshine Acres",201,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Booral",206,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Eidsvold",215,"Mundubbera Hospital","Brisbane (PAH/RBWH)"
"River Heads",213,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Aldershot",223,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
"Biggenden",174,"Biggenden Hospital","Brisbane (PAH/RBWH)"
"Oakhurst",228,"Hervey Bay Hospital","Brisbane (PAH/RBWH)"
