RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 175 - 175 - RBWH,1990-01-01 12:00:00,1990-01-01 13:15:43,1990-01-01 02:00:00,1990-01-01 03:15:43,66.40565557,106.86975709,75.4560253,,,,,175,1,1289,Yandina,152.9565,-26.56212,RBWH,Ned Hanlon Dr
Route 122 - 122 - RBWH,1990-01-01 12:00:00,1990-01-01 15:02:29.000001,1990-01-01 02:00:00,1990-01-01 05:02:29,173.78668889,279.68312441,182.81941329,,,,,122,1,1236,Torbanlea,152.596,-25.34752,RBWH,Ned Hanlon Dr
Route 358 - 358 - RBWH,1990-01-01 12:00:00,1990-01-02 14:26:56,1990-01-01 02:00:00,1990-01-02 04:26:56,1518.88185893,2444.4082952,1585.55000327,,,,,358,1,1028,Kowanyama,141.7435,-15.47744,RBWH,Ned Hanlon Dr
Route 329 - 329 - RBWH,1990-01-01 12:00:00,1990-01-01 18:07:10,1990-01-01 02:00:00,1990-01-01 08:07:10,347.42646622,559.12981711,368.5676776,,,,,329,1,1221,Theodore,150.075,-24.94678,RBWH,Ned Hanlon Dr
Route 317 - 317 - RBWH,1990-01-01 12:00:00,1990-01-01 16:19:45,1990-01-01 02:00:00,1990-01-01 06:19:45,240.77782623,387.49512496,260.17849791,,,,,317,1,1209,Moore Park,152.2757,-24.71776,RBWH,Ned Hanlon Dr
Route 239 - 239 - RBWH,1990-01-01 12:00:00,1990-01-02 00:31:28,1990-01-01 02:00:00,1990-01-01 14:31:28.000001,725.14404468,1167.00855145,753.76191659,,,,,239,1,1131,Scottville,147.8184,-20.57206,RBWH,Ned Hanlon Dr
Route 196 - 196 - RBWH,1990-01-01 12:00:00,1990-01-01 13:00:02.000001,1990-01-01 02:00:00,1990-01-01 03:00:02,46.44816822,74.75123034,59.8572434,,,,,196,1,1310,Landsborough,152.9652,-26.80826,RBWH,Ned Hanlon Dr
Route 127 - 127 - RBWH,1990-01-01 12:00:00,1990-01-01 15:21:53,1990-01-01 02:00:00,1990-01-01 05:21:53,186.30017794,299.8216732,202.25579529,,,,,127,1,1241,River Heads,152.9102,-25.39864,RBWH,Ned Hanlon Dr
Route 176 - 176 - RBWH,1990-01-01 12:00:00,1990-01-01 17:20:01,1990-01-01 02:00:00,1990-01-01 07:20:01,297.07005263,478.08886297,320.82742859,,,,,176,1,1290,Roma,148.7879,-26.57094,RBWH,Ned Hanlon Dr
Route 129 - 129 - RBWH,1990-01-01 12:00:00,1990-01-01 15:11:27.000001,1990-01-01 02:00:00,1990-01-01 05:11:27,179.54075166,288.94340932,191.67878484,,,,,129,1,1243,Biggenden,152.0449,-25.50952,RBWH,Ned Hanlon Dr
Route 373 - 373 - RBWH,1990-01-01 12:00:00,1990-01-02 06:50:36,1990-01-01 02:00:00,1990-01-01 20:50:36,1078.12449755,1735.07666154,1130.59145352,,,,,373,1,1043,Mareeba - South,145.4211,-17.05062,RBWH,Ned Hanlon Dr
Route 348 - 348 - RBWH,1990-01-01 12:00:00,1990-01-02 18:04:48,1990-01-01 02:00:00,1990-01-02 08:04:48.000001,1656.01377289,2665.10115953,1807.65339591,,,,,348,1,1018,Injinoo,142.3275,-10.90209,RBWH,Ned Hanlon Dr
