RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 205 - 205 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:13:39,1990-01-01 02:00:00,1990-01-01 12:13:39,577.88078972,930.01084167,615.16561067,,,,,205,1,1319,Woodford,152.778,-26.95557,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 402 - 402 - Mackay Hospital,1990-01-01 12:00:00,1990-01-02 04:27:04,1990-01-01 02:00:00,1990-01-01 18:27:04,943.44818957,1518.33571987,992.6126443,,,,,402,1,1072,Burketown,139.5466,-17.74255,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 359 - 359 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:37:00,1990-01-01 02:00:00,1990-01-01 12:37:00,561.51586892,903.67400189,637.51184366,,,,,359,1,1029,Wujal Wujal,145.3188,-15.94835,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 240 - 240 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 13:10:10.000001,1990-01-01 02:00:00,1990-01-01 03:10:10,63.91318619,102.85850844,70.20768789,,,,,240,1,1132,Midge Point,148.7213,-20.65029,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 208 - 208 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:11:23,1990-01-01 02:00:00,1990-01-01 12:11:23,584.22388003,940.21907642,612.79027702,,,,,208,1,1322,Delaneys Creek,152.7971,-27.00308,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 306 - 306 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 16:52:04,1990-01-01 02:00:00,1990-01-01 06:52:04,278.64247568,448.43249324,292.2679773,,,,,306,1,1198,Springsure,148.0891,-24.11595,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 243 - 243 - Mackay Hospital,1990-01-01 12:00:00,1990-01-02 01:33:27,1990-01-01 02:00:00,1990-01-01 15:33:27,765.85954738,1232.53393248,815.9640186,,,,,243,1,1135,Mount Isa,139.4993,-20.73044,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 236 - 236 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 13:28:48,1990-01-01 02:00:00,1990-01-01 03:28:48,81.84961238,131.72444604,88.88136111,,,,,236,1,1128,Mount Julian,148.6196,-20.37468,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 209 - 209 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 21:57:26.000001,1990-01-01 02:00:00,1990-01-01 11:57:26,570.72197349,918.48982068,598.65639221,,,,,209,1,1323,Donnybrook,153.0662,-27.00662,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 212 - 212 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:06:48.000001,1990-01-01 02:00:00,1990-01-01 12:06:48,578.27777183,930.64972373,608.1096463,,,,,212,1,1326,Ningi,153.1051,-27.06703,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 310 - 310 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 18:08:14,1990-01-01 02:00:00,1990-01-01 08:08:14,347.19966283,558.7648117,368.64791963,,,,,310,1,1202,Agnes Water,151.9008,-24.21017,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 215 - 215 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:16:31,1990-01-01 02:00:00,1990-01-01 12:16:31,583.14151315,938.47717229,618.02983811,,,,,215,1,1329,Bongaree,153.1626,-27.08546,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 222 - 222 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 15:44:11,1990-01-01 02:00:00,1990-01-01 05:44:11,211.50180717,340.37984512,224.39804529,,,,,222,1,1114,Giru,147.1066,-19.51333,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 253 - 253 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 12:47:56.000001,1990-01-01 02:00:00,1990-01-01 02:47:56,38.33121899,61.68824066,48.01204383,,,,,253,1,1145,Finch Hatton,148.6313,-21.14165,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 223 - 223 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 15:23:34,1990-01-01 02:00:00,1990-01-01 05:23:34,190.19724539,306.09340788,203.73376127,,,,,223,1,1115,Kalamia Estate,147.4184,-19.53428,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 224 - 224 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 15:20:30,1990-01-01 02:00:00,1990-01-01 05:20:30,190.29537578,306.25133375,200.72002174,,,,,224,1,1116,Brandon,147.3554,-19.55389,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 275 - 275 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 19:56:45,1990-01-01 02:00:00,1990-01-01 09:56:45,463.80766391,746.42757391,477.38701842,,,,,275,1,1167,Aramac,145.2439,-22.9698,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 226 - 226 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 15:06:40,1990-01-01 02:00:00,1990-01-01 05:06:40,179.93249486,289.57386015,186.86478349,,,,,226,1,1118,Home Hill,147.4144,-19.66043,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 231 - 231 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 13:50:23,1990-01-01 02:00:00,1990-01-01 03:50:23,103.54788567,166.6445018,110.45371571,,,,,231,1,1123,Hideaway Bay - Dingo Beach,148.4886,-20.08489,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 376 - 376 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 21:00:43,1990-01-01 02:00:00,1990-01-01 11:00:43,500.15659907,804.92563162,541.4001633,,,,,376,1,1046,Dimbulah,145.1096,-17.15058,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 233 - 233 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 13:43:58,1990-01-01 02:00:00,1990-01-01 03:43:58,92.81036894,149.36410911,104.06909707,,,,,233,1,1125,Airlie Beach,148.7132,-20.26829,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 296 - 296 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 15:42:50,1990-01-01 02:00:00,1990-01-01 05:42:50,219.8942917,353.88626676,223.03258513,,,,,296,1,1188,Dingo,149.3315,-23.64629,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 278 - 278 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 15:52:37,1990-01-01 02:00:00,1990-01-01 05:52:37,223.33802333,359.42842667,232.785471,,,,,278,1,1170,Yeppoon,150.7431,-23.12635,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 234 - 234 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 13:40:15,1990-01-01 02:00:00,1990-01-01 03:40:15,91.04528268,146.52347245,100.34521644,,,,,234,1,1126,Cannonvale,148.6962,-20.2769,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 432 - 432 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 17:09:32,1990-01-01 02:00:00,1990-01-01 07:09:32,251.88041995,405.36305328,309.93046786,,,,,432,1,1102,Picnic Bay,146.8379,-19.17814,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 361 - 361 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 21:28:26,1990-01-01 02:00:00,1990-01-01 11:28:26,513.50227183,826.40345296,568.86225176,,,,,361,1,1031,Wonga Beach,145.4137,-16.3472,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 238 - 238 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 14:56:47,1990-01-01 02:00:00,1990-01-01 04:56:47,169.27768033,272.42656403,176.99255299,,,,,238,1,1130,Collinsville,147.8441,-20.55341,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 425 - 425 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 16:54:40,1990-01-01 02:00:00,1990-01-01 06:54:40,276.91377113,445.65040738,294.96546308,,,,,425,1,1095,Balgal Beach,146.4083,-19.01722,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 383 - 383 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 20:10:43.000001,1990-01-01 02:00:00,1990-01-01 10:10:43,456.11172361,734.04213381,491.32046086,,,,,383,1,1053,Yungaburra,145.5851,-17.26885,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 347 - 347 - Mackay Hospital,1990-01-01 12:00:00,1990-01-02 07:48:17,1990-01-01 02:00:00,1990-01-01 21:48:17,1064.76040583,1713.56919769,1189.71687448,,,,,347,1,1017,Bamaga,142.3893,-10.89279,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 293 - 293 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 15:57:46,1990-01-01 02:00:00,1990-01-01 05:57:46,222.25129367,357.67950131,237.95677841,,,,,293,1,1185,Bouldercombe,150.4668,-23.57818,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 242 - 242 - Mackay Hospital,1990-01-01 12:00:00,1990-01-02 00:16:52,1990-01-01 02:00:00,1990-01-01 14:16:52,690.96834707,1112.00798757,739.31483457,,,,,242,1,1134,Cloncurry,140.5092,-20.70554,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 439 - 439 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 16:29:52,1990-01-01 02:00:00,1990-01-01 06:29:52,252.8706366,406.9566557,270.16193317,,,,,439,1,1109,Alice River,146.6023,-19.32778,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 438 - 438 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 16:27:21,1990-01-01 02:00:00,1990-01-01 06:27:21,250.54665252,403.21655838,267.65320871,,,,,438,1,1108,Rangewood,146.6392,-19.31192,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 430 - 430 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 16:38:35,1990-01-01 02:00:00,1990-01-01 06:38:35,261.74851186,421.24423957,278.89455502,,,,,430,1,1100,Saunders Beach,146.6098,-19.15875,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 412 - 412 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 18:41:30,1990-01-01 02:00:00,1990-01-01 08:41:30,378.90574515,609.7909071,401.99874364,,,,,412,1,1082,Carmoo,146.0461,-17.94788,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 248 - 248 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 12:37:48,1990-01-01 02:00:00,1990-01-01 02:37:48,29.71001585,47.81373137,37.73910791,,,,,248,1,1140,Haliday Bay - Ball Bay,148.9879,-20.90075,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 315 - 315 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 17:26:05,1990-01-01 02:00:00,1990-01-01 07:26:05,303.46978781,488.38825896,326.26387983,,,,,315,1,1207,Thangool,150.5751,-24.48738,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 249 - 249 - Mackay Hospital,1990-01-01 12:00:00,1990-01-02 00:04:17,1990-01-01 02:00:00,1990-01-01 14:04:17,675.19743017,1086.62710631,725.16055236,,,,,249,1,1141,Killarney,152.2963,-28.33305,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 251 - 251 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 12:11:57,1990-01-01 02:00:00,1990-01-01 02:11:57,6.71086868,10.80011785,11.96567787,,,,,251,1,1143,Farleigh,149.1017,-21.10705,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 364 - 364 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 21:14:44,1990-01-01 02:00:00,1990-01-01 11:14:44,501.86391019,807.67328802,555.17586778,,,,,364,1,1034,Mossman,145.3731,-16.46155,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 254 - 254 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 12:22:20,1990-01-01 02:00:00,1990-01-01 02:22:20,16.32589552,26.27403455,22.34950523,,,,,254,1,1146,Marian,148.9428,-21.14558,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
