RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 169 - 169 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:57:31,1990-01-01 02:00:00,1990-01-01 04:57:31,156.47049858,251.8153617,176.40094867,,,,,169,1,1283,Doonan - Tinbeerwah,153.0119,-26.43781,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 137 - 137 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 16:05:44,1990-01-01 02:00:00,1990-01-01 06:05:44,218.05249364,350.92217417,246.03865538,,,,,137,1,1251,Poona,152.9052,-25.71673,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 429 - 429 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 03:16:05,1990-01-01 02:00:00,1990-01-01 17:16:05,855.78130804,1377.2492679,917.39541465,,,,,429,1,1099,Nelly Bay,146.8484,-19.15696,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 146 - 146 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:06:04,1990-01-01 02:00:00,1990-01-01 05:06:04,166.83887497,268.50167941,186.13890866,,,,,146,1,1260,Curra,152.5881,-26.07081,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 138 - 138 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:25:58,1990-01-01 02:00:00,1990-01-01 05:25:58,183.72570068,295.67844539,206.1801273,,,,,138,1,1252,Tiaro,152.584,-25.725,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 294 - 294 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 19:45:28,1990-01-01 02:00:00,1990-01-01 09:45:28.000001,441.17220264,709.99925729,465.75309133,,,,,294,1,1186,Bluff,149.0695,-23.57993,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 201 - 201 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:21:12,1990-01-01 02:00:00,1990-01-01 04:21:12,119.78246858,192.77158265,140.6331185,,,,,201,1,1315,Glass House Mountain,152.9507,-26.89771,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 142 - 142 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 16:05:27,1990-01-01 02:00:00,1990-01-01 06:05:27,216.12525698,347.82058121,245.80594345,,,,,142,1,1256,Rainbow Beach,153.0922,-25.90782,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 404 - 404 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 05:01:26,1990-01-01 02:00:00,1990-01-01 19:01:26,995.0374181,1601.36070132,1022.67362879,,,,,404,1,1074,Kurrimine,146.1047,-17.77796,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 181 - 181 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 21:02:08,1990-01-01 02:00:00,1990-01-01 11:02:08,515.68077157,829.90941546,542.49016969,,,,,181,1,1295,Quilpie,144.2683,-26.61502,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 143 - 143 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:51:59,1990-01-01 02:00:00,1990-01-01 05:51:59,203.36468121,327.28438409,232.3131807,,,,,143,1,1257,Tin Can Bay,153.0031,-25.91357,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 421 - 421 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 03:42:00,1990-01-01 02:00:00,1990-01-01 17:42:00.000001,919.96758554,1480.54727508,943.45982966,,,,,421,1,1091,Trebonne,146.0781,-18.62689,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 377 - 377 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 08:22:23,1990-01-01 02:00:00,1990-01-01 22:22:23,1163.5262282,1872.51769923,1220.96477259,,,,,377,1,1047,Chillagoe,144.5225,-17.15243,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 166 - 166 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 18:52:16,1990-01-01 02:00:00,1990-01-01 08:52:16.000001,384.66471574,619.05909041,412.4605052,,,,,166,1,1280,Charleville,146.2416,-26.40697,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 157 - 157 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:16:29,1990-01-01 02:00:00,1990-01-01 05:16:29,174.02721697,280.07021761,195.06288513,,,,,157,1,1271,Boreen Point,152.9952,-26.28443,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 144 - 144 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:19:33,1990-01-01 02:00:00,1990-01-01 05:19:33,180.15453143,289.93119409,199.71214285,,,,,144,1,1258,Glenwood,152.6324,-25.94735,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 326 - 326 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 20:04:13.000001,1990-01-01 02:00:00,1990-01-01 10:04:13,458.2219083,737.43815366,484.51528004,,,,,326,1,1218,Tambo,146.2549,-24.88339,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 302 - 302 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 17:50:30,1990-01-01 02:00:00,1990-01-01 07:50:30,325.41292593,523.70238728,350.94410792,,,,,302,1,1194,Tannum Sands,151.3685,-23.94867,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 290 - 290 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 20:19:27,1990-01-01 02:00:00,1990-01-01 10:19:27,468.01578641,753.19990417,499.47087622,,,,,290,1,1182,Emerald,148.1598,-23.52349,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 285 - 285 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 19:08:51,1990-01-01 02:00:00,1990-01-01 09:08:51.000001,396.99672247,638.90557115,429.10272015,,,,,285,1,1177,Rockhampton,150.4974,-23.38918,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 232 - 232 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 01:55:00,1990-01-01 02:00:00,1990-01-01 15:55:00,817.03423107,1314.89176735,838.10604978,,,,,232,1,1124,Ravenswood,146.8898,-20.10146,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 162 - 162 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:10:58,1990-01-01 02:00:00,1990-01-01 05:10:58,166.96139041,268.69884929,189.59459326,,,,,162,1,1276,Cooroibah,152.9939,-26.35897,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 149 - 149 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:42:07,1990-01-01 02:00:00,1990-01-01 04:42:07,137.43637162,221.18284241,162.14701289,,,,,149,1,1263,Proston,151.603,-26.16377,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 216 - 216 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 13:14:18,1990-01-01 02:00:00,1990-01-01 03:14:18,61.4037491,98.81995283,74.23024677,,,,,216,1,1330,Toogoolawah,152.3753,-27.08821,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 151 - 151 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:16:00,1990-01-01 02:00:00,1990-01-01 05:16:00,171.31718069,275.70882826,196.21898572,,,,,151,1,1265,Gympie,152.6706,-26.18893,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 268 - 268 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 22:18:37,1990-01-01 02:00:00,1990-01-01 12:18:37,593.72273654,955.50603473,619.71975833,,,,,268,1,1160,Moranbah,148.0456,-22.0039,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 219 - 219 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 13:02:11,1990-01-01 02:00:00,1990-01-01 03:02:11,52.3052315,84.17727884,62.15513763,,,,,219,1,1333,Dalby,151.261,-27.18328,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 152 - 152 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:15:16,1990-01-01 02:00:00,1990-01-01 05:15:16,172.96540852,278.36139914,195.40341042,,,,,152,1,1266,The Palms,152.5889,-26.19336,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 262 - 262 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 22:31:24,1990-01-01 02:00:00,1990-01-01 12:31:24,593.62613046,955.350562,632.74794935,,,,,262,1,1154,Grasstree Beach,149.3067,-21.36404,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 155 - 155 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:18:23,1990-01-01 02:00:00,1990-01-01 05:18:23.000001,174.18893911,280.33048468,198.55624735,,,,,155,1,1269,Pie Creek,152.6277,-26.23769,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 156 - 156 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:22:18,1990-01-01 02:00:00,1990-01-01 04:22:18,123.83917618,199.30023375,142.12329351,,,,,156,1,1270,Murgon,151.9402,-26.24246,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 256 - 256 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 23:03:10,1990-01-01 02:00:00,1990-01-01 13:03:10,622.91852783,1002.49220023,665.18954285,,,,,256,1,1148,Mirani,148.8653,-21.16023,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 161 - 161 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:13:04,1990-01-01 02:00:00,1990-01-01 05:13:04,173.79484061,279.69624336,191.64458468,,,,,161,1,1275,Amamoor,152.6748,-26.34607,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 259 - 259 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 22:46:06,1990-01-01 02:00:00,1990-01-01 12:46:06,607.8885366,978.30372565,647.91455079,,,,,259,1,1151,Eton,148.9732,-21.26365,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 163 - 163 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:01:24,1990-01-01 02:00:00,1990-01-01 05:01:24,161.53837865,259.9713404,180.30085251,,,,,163,1,1277,Pomona,152.8533,-26.36256,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 390 - 390 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 09:22:43,1990-01-01 02:00:00,1990-01-01 23:22:43,1261.00145247,2029.38918031,1284.19731818,,,,,390,1,1060,Karumba,140.8383,-17.48673,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 295 - 295 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 18:38:07.000001,1990-01-01 02:00:00,1990-01-01 08:38:07,373.75599465,601.50317046,398.4930411,,,,,295,1,1187,Mount Morgan,150.3881,-23.64464,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 228 - 228 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 00:35:34,1990-01-01 02:00:00,1990-01-01 14:35:34,721.97709639,1161.91183204,758.81292253,,,,,228,1,1120,Bowen,148.2418,-20.01494,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 167 - 167 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:09:19,1990-01-01 02:00:00,1990-01-01 05:09:19,160.50114088,258.30206467,187.928221,,,,,167,1,1281,Sunshine Beach,153.1058,-26.41021,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 414 - 414 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 08:00:37,1990-01-01 02:00:00,1990-01-01 22:00:37.000001,1168.3803861,1880.32972475,1199.19576587,,,,,414,1,1084,Croydon,142.2422,-18.2051,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 292 - 292 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 19:58:51,1990-01-01 02:00:00,1990-01-01 09:58:51,453.36806839,729.62663991,479.16721788,,,,,292,1,1184,Blackwater,148.8834,-23.5779,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 230 - 230 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 01:04:08,1990-01-01 02:00:00,1990-01-01 15:04:08,763.40136484,1228.57786326,788.36617164,,,,,230,1,1122,Charters Towers,146.2598,-20.07699,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 172 - 172 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:50:08,1990-01-01 02:00:00,1990-01-01 04:50:08,150.69060905,242.51351256,169.1903993,,,,,172,1,1286,Eumundi,152.9513,-26.47643,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 252 - 252 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 22:49:17,1990-01-01 02:00:00,1990-01-01 12:49:17,611.16461566,983.57607438,650.83454752,,,,,252,1,1144,Erakala,149.1071,-21.12326,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 177 - 177 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 15:36:28,1990-01-01 02:00:00,1990-01-01 05:36:28,193.81371972,311.91357078,216.7164999,,,,,177,1,1291,Wallumbilla,149.187,-26.58483,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 423 - 423 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 03:49:10,1990-01-01 02:00:00,1990-01-01 17:49:10,926.2276653,1490.62191703,950.50390373,,,,,423,1,1093,Allingham,146.2953,-18.70771,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 206 - 206 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:15:45,1990-01-01 02:00:00,1990-01-01 04:15:45,115.71690727,186.22868287,135.28379914,,,,,206,1,1320,Beerburrum,152.955,-26.96138,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 179 - 179 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:51:29,1990-01-01 02:00:00,1990-01-01 04:51:29,146.96618154,236.5196155,170.47001069,,,,,179,1,1293,Kureelpa,152.8837,-26.60834,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 343 - 343 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 20:51:48,1990-01-01 02:00:00,1990-01-02 10:51:48.000001,1700.3519624,2736.45670148,1969.6811789,,,,,343,1,1013,Horn Island,142.2837,-10.60644,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 297 - 297 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 22:02:44,1990-01-01 02:00:00,1990-01-01 12:02:44,572.29126866,921.0153615,603.15326759,,,,,297,1,1189,Alpha,146.6387,-23.65028,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 187 - 187 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:38:38,1990-01-01 02:00:00,1990-01-01 04:38:38,138.78368277,223.35113386,157.7885138,,,,,187,1,1301,Woombye,152.9666,-26.66148,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 395 - 395 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 05:13:49,1990-01-01 02:00:00,1990-01-01 19:13:49,1006.18317472,1619.29809373,1035.2888086,,,,,395,1,1065,Innisfail,146.0299,-17.52363,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 263 - 263 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 22:29:48,1990-01-01 02:00:00,1990-01-01 12:29:48,591.72777092,952.29544236,631.12314984,,,,,263,1,1155,Campwin Beach,149.313,-21.37793,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 237 - 237 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 23:56:41,1990-01-01 02:00:00,1990-01-01 13:56:41,681.02744174,1096.00961923,719.7392692,,,,,237,1,1129,Proserpine,148.5821,-20.40489,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 189 - 189 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:43:08,1990-01-01 02:00:00,1990-01-01 04:43:08,140.60116049,226.27608658,162.19830369,,,,,189,1,1303,Palmwoods,152.9568,-26.69113,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 388 - 388 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 05:29:59,1990-01-01 02:00:00,1990-01-01 19:29:59,1020.20952557,1641.87136246,1051.59964678,,,,,388,1,1058,Mirriwinni,145.9089,-17.39951,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 366 - 366 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 07:16:35,1990-01-01 02:00:00,1990-01-01 21:16:35,1098.88418558,1768.48620774,1154.60905277,,,,,366,1,1036,Craiglie,145.467,-16.51455,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 346 - 346 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 18:09:50.000001,1990-01-01 02:00:00,1990-01-02 08:09:50,1666.94335211,2682.69064744,1811.37304157,,,,,346,1,1016,Umagico,142.3489,-10.88916,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 308 - 308 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 17:52:41,1990-01-01 02:00:00,1990-01-01 07:52:41,323.16190238,520.07970878,353.18043556,,,,,308,1,1200,Seventeen Seventy,151.8855,-24.16343,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
