"SA2_CODE11","value","min","max"
"301011001",39.5450927914589,37.5494687947426,42.4693980497669
"301011002",36.6986520327293,35.0324232271512,41.1060422983365
"301011003",42.1460656987773,39.6153375207554,44.8823280498902
"301011004",37.0942556274169,35.0694916902811,39.9922806990552
"301011005",42.3208746230344,41.0569848077978,42.9979480534925
"301011006",44.7752004630751,41.9463325003024,48.666388319949
"301021007",43.5743613433143,39.38276219446,49.7534298666319
"301021008",44.5017706197899,42.4439128820032,47.9006111917598
"301021009",43.9000298426355,33.7788490565468,48.1602762028679
"301021010",71.5577242523793,45.507637560878,101.542799632673
"301021011",32.899876671815,31.5862972505176,36.1094786119696
"301021012",39.7528467898045,35.9008300312116,42.1178965448731
"301021013",42.0656795332171,37.1085780295307,45.583831796598
"301031014",45.3602472763009,40.7143671257267,61.0420472465107
"301031015",42.6672745562521,41.1141061891484,44.2624881428941
"301031016",40.8197945713125,38.7371322226558,42.1948886635273
"301031017",36.4369378002025,35.8055339258334,39.2544872533175
"301031018",37.3779389854528,36.087316349899,39.5487740150988
"301031019",38.6408084614725,37.5696512343987,39.9695310605611
"301031020",42.9480780677323,41.5745303432469,44.1444126133728
"301031021",40.5692994690828,38.2274319760488,41.9179803051487
"302011022",37.9820628505778,36.7322673669628,40.8666258825585
"302011023",34.9790078826377,34.0362567790557,36.9029986485667
"302011024",36.7315688077628,35.7699591029012,37.4402149255177
"302011025",33.1225416836915,32.7187696632325,33.7093484842533
"302011026",33.9287820267085,33.4238508711376,34.4751496211118
"302021027",35.9730523347805,34.6213102398532,36.8719331049317
"302021028",35.7751344256011,35.2378668042281,36.7357894819519
"302021029",34.9343366046488,34.3512389722746,35.7097825078466
"302021030",37.2309559810612,36.3273385558576,38.2184957013635
"302021031",34.8662948313602,34.1106338344723,35.8784509446549
"302021032",33.924031277924,33.3045727080399,34.4707178283405
"302021033",34.2542835587491,33.6349483780657,34.8281831725009
"302021034",36.6153709971792,35.5971614197003,37.3255439674085
"302031035",39.4063437566884,38.3549566437873,41.1880079453052
"302031036",40.6040671300839,36.7810603659062,46.0585743793446
"302031037",37.4520678424685,35.8542261221198,40.4640533049353
"302031038",37.9923090444299,37.2495023920756,38.8689733096742
"302031039",39.7252382591669,38.732282479137,42.8201784812503
"302031040",36.9341085331709,36.0479500720924,37.9764982007757
"302041041",38.7950497520709,37.6549397574066,40.1047900948105
"302041042",41.3633697381938,40.2314557336011,42.3723907959048
"302041043",40.3597969384448,39.4392714876174,41.0328106317071
"302041044",41.4872444083063,40.2657980780743,42.4271188419838
"302041045",38.1446371704393,37.4039832017702,39.4939721072378
"302041046",37.6417984215656,36.626471254733,38.5652236593777
"303011047",33.786484936729,33.2132996391975,34.7067363613587
"303011048",35.5171493735412,34.879805119998,36.0724839903413
"303011049",35.009552924687,34.2075436067288,36.0060219052091
"303011050",34.0680801219628,33.3356356942836,34.5698876207013
"303011051",34.4606262170977,33.5875430604705,36.1605137617115
"303021052",31.8308405621871,31.4747291624498,32.2132390387782
"303021053",33.0477720302388,32.5684133915983,33.4977863486678
"303021054",31.8232293144181,31.4773580468132,32.1623157148995
"303021055",32.4056963893622,32.0426120392243,32.7259401053407
"303021056",32.6935664548954,32.4172763268556,33.1980528767244
"303021057",32.3259697824014,32.0150100277351,32.4723861221503
"303021058",32.38577839244,32.1158952823757,32.6953654892803
"303021059",31.2793230848497,30.7741399497519,31.540891215996
"303031060",31.8756568286844,31.6194411126486,32.3129049478308
"303031061",31.8040972666644,31.6010040065532,31.9536688354835
"303031062",33.2019017485909,32.6952542166079,33.882800771807
"303031063",32.6425813520735,31.947918433837,33.6093757723739
"303031064",32.5248350623345,31.9693184927136,35.5251658234635
"303031065",32.1502068187582,31.9244854356958,32.5719883934711
"303031066",32.50882802776,32.0381309884439,33.1341987216116
"303041067",31.2400916806818,31.0223502235438,31.416499817722
"303041068",31.2367097346477,31.0131058424855,31.5931203983818
"303041069",31.5093841902544,31.3776054349619,31.70092630719
"303041070",31.3165557123457,31.0693309803502,31.8897300897504
"303041071",31.8482461874769,31.5078658099984,32.1451434064778
"303051072",31.3948916613174,31.2152522324453,31.6208661268238
"303051073",31.6817742662676,31.3833833316929,32.3064342197803
"303051074",31.3225637412302,30.6449051668892,32.0752182858322
"303051075",31.8628713957078,31.558025713511,32.5223419793934
"303051076",30.9715618975571,30.5925452356278,31.2858806284729
"303061077",31.7897667831051,31.6806278272309,31.8823722435197
"303061078",31.6258999522538,31.5181845243252,31.8039715069592
"303061079",31.4914331363369,31.23218143675,31.7071805666045
"303061080",31.4005572710307,31.2037055580992,31.571288276373
"304011081",30.3226710929607,30.2998583019138,30.3528921107169
"304011082",30.3177949633575,30.2997445304948,30.3754326851426
"304011083",30.3965637888799,30.3419841293334,30.5081140940349
"304011084",30.3278968103465,30.3013396161816,30.3828081106761
"304011085",30.3987422284428,30.347293791497,30.4817182189278
"304021086",30.7129990163369,30.4951019975244,31.0822892363345
"304021087",30.5502985411113,30.4058274001922,34.4595087657608
"304021088",30.5284786809752,30.431775685701,30.6328624832463
"304021089",30.4395680074778,30.3665259917225,30.5104503766976
"304021090",30.4072323028377,30.3523467783582,30.4590080340453
"304021091",30.8165248371024,30.4044665895242,32.1452719584001
"304031092",30.6684794125596,30.5445211893143,30.8154046119751
"304031093",30.5590256004368,30.4499138309858,30.6827569442333
"304031094",30.7666565369047,30.4529638742862,31.129475861704
"304031095",30.6005773992889,30.4883580158213,30.7373773998357
"304031096",31.2868258016047,31.0428444342833,31.6442085175548
"304031097",30.9838792212171,30.7607989468529,31.2699908276514
"304041098",32.6001449035147,31.4338718288101,33.1973168200552
"304041099",31.6701204415864,30.8927093564018,36.6989752424627
"304041100",31.6632295818896,31.1742073808804,32.3070660925015
"304041101",32.2339235276751,31.6843981224415,32.671835314886
"304041102",30.8317848343717,30.6213493327527,31.027931716403
"304041103",30.9558344200972,30.7413139621268,31.3044768720127
"304041104",31.0534584668095,30.9125590286289,31.4370941031739
"305011105",32.5974134928543,32.172920369961,33.1426952884634
"305011106",33.382822958978,33.1048304469469,33.8402009006998
"305011107",31.9142532306787,31.6901843059414,32.0941651510308
"305011108",32.9022319263289,32.4668809657935,33.1466331030596
"305011109",33.4493373861459,33.1268431854452,33.8415947103747
"305011110",32.1616784717194,31.9688796181608,32.4383219498289
"305011111",32.8287534630313,32.6084988173675,33.1884380318144
"305011112",31.6767682522243,31.3580601247958,31.9889556045753
"305021113",34.8335092541992,34.5137140171385,35.2854352359282
"305021114",34.6953881893158,34.2997415232305,35.3249899689807
"305021115",32.9376423625325,32.5900475395019,33.3929701649632
"305021116",34.2203207825277,33.8610300702755,34.5114376081065
"305021117",34.6122840947654,33.9920597518162,36.0615629090197
"305021118",33.7642431992473,33.3139604187652,34.1315537109068
