"SA1_CODE16","seifa_decile","seifa_percentile","seifa_quintile","ra","ra_name"
30101100101,9,84,5,0,"Major Cities of Australia"
30101100102,7,67,4,0,"Major Cities of Australia"
30101100103,6,57,3,0,"Major Cities of Australia"
30101100104,7,62,4,0,"Major Cities of Australia"
30101100105,2,16,1,0,"Major Cities of Australia"
30101100106,8,77,4,0,"Major Cities of Australia"
30101100107,5,44,3,0,"Major Cities of Australia"
30101100108,7,64,4,0,"Major Cities of Australia"
30101100109,3,26,2,0,"Major Cities of Australia"
30101100110,5,47,3,0,"Major Cities of Australia"
30101100111,5,45,3,0,"Major Cities of Australia"
30101100112,4,32,2,0,"Major Cities of Australia"
30101100113,4,36,2,0,"Major Cities of Australia"
30101100114,4,33,2,0,"Major Cities of Australia"
30101100115,5,43,3,0,"Major Cities of Australia"
30101100116,3,28,2,0,"Major Cities of Australia"
30101100117,3,27,2,0,"Major Cities of Australia"
30101100118,5,41,3,0,"Major Cities of Australia"
30101100119,5,45,3,0,"Major Cities of Australia"
30101100120,6,52,3,0,"Major Cities of Australia"
30101100121,7,67,4,0,"Major Cities of Australia"
30101100122,9,88,5,0,"Major Cities of Australia"
30101100123,3,29,2,0,"Major Cities of Australia"
30101100124,6,56,3,0,"Major Cities of Australia"
30101100125,5,41,3,0,"Major Cities of Australia"
30101100126,4,34,2,0,"Major Cities of Australia"
30101100127,3,30,2,0,"Major Cities of Australia"
30101100128,4,31,2,0,"Major Cities of Australia"
30101100129,6,55,3,0,"Major Cities of Australia"
30101100130,3,30,2,0,"Major Cities of Australia"
30101100131,6,56,3,0,"Major Cities of Australia"
30101100132,2,16,1,0,"Major Cities of Australia"
30101100133,3,30,2,0,"Major Cities of Australia"
30101100134,6,54,3,0,"Major Cities of Australia"
30101100135,7,64,4,0,"Major Cities of Australia"
30101100136,6,54,3,0,"Major Cities of Australia"
30101100137,7,62,4,0,"Major Cities of Australia"
30101100138,6,52,3,0,"Major Cities of Australia"
30101100139,6,55,3,0,"Major Cities of Australia"
30101100140,6,57,3,0,"Major Cities of Australia"
30101100141,7,70,4,0,"Major Cities of Australia"
30101100142,9,88,5,0,"Major Cities of Australia"
30101100143,NA,NA,NA,0,"Major Cities of Australia"
30101100144,NA,NA,NA,0,"Major Cities of Australia"
30101100145,6,53,3,0,"Major Cities of Australia"
30101100201,8,72,4,0,"Major Cities of Australia"
30101100202,10,98,5,0,"Major Cities of Australia"
30101100203,9,88,5,0,"Major Cities of Australia"
30101100204,9,88,5,0,"Major Cities of Australia"
30101100205,10,94,5,0,"Major Cities of Australia"
30101100206,9,83,5,0,"Major Cities of Australia"
30101100207,9,89,5,0,"Major Cities of Australia"
30101100208,10,94,5,0,"Major Cities of Australia"
30101100209,9,89,5,0,"Major Cities of Australia"
30101100210,10,97,5,0,"Major Cities of Australia"
30101100211,NA,NA,NA,0,"Major Cities of Australia"
30101100212,5,45,3,0,"Major Cities of Australia"
30101100213,9,81,5,0,"Major Cities of Australia"
30101100214,8,73,4,0,"Major Cities of Australia"
30101100215,9,81,5,0,"Major Cities of Australia"
30101100216,9,88,5,0,"Major Cities of Australia"
30101100217,10,92,5,0,"Major Cities of Australia"
30101100218,9,90,5,0,"Major Cities of Australia"
30101100219,10,97,5,0,"Major Cities of Australia"
30101100220,6,60,3,0,"Major Cities of Australia"
