"SA2_CODE16","median_time_to_acute_care","min_time_to_acute_care","max_time_to_acute_care","median_time_to_rehab_care","min_time_to_rehab_care","max_time_to_rehab_care","iTRAQI_index"
301011001,60.5394920568968,55.5287699079713,69.0608492086484,31.8247986804317,29.4280284695727,36.0372490230847,"2A"
301011002,36.0620412341443,28.2269299413154,49.9838485279466,22.2972145355312,19.2401599919933,29.2768623548387,"1A"
301011003,59.1618695097694,49.77170940064,63.3243298202943,33.0800974037556,28.6358031958905,36.2896817614214,"1A"
301011004,51.3532027969926,44.9251101295196,59.1403902875497,27.4707656068231,24.8114958374372,30.6291330572907,"1A"
301011005,54.2985658302213,50.1701159121578,57.0875467854372,31.993244407167,29.9383979887988,33.0671384965873,"1A"
301011006,67.26450496403,63.9678332396361,73.5483667851002,37.1260317679591,34.9046472528163,41.5604540052476,"2A"
301021007,79.3622968224318,69.9164044276116,88.3511900061901,38.9508626648252,34.7100831038709,46.0606420568181,"2A"
301021008,74.2159567358765,70.6451919296713,76.9022170559261,39.2891019259416,36.6932571337571,41.41540297969,"2A"
301021009,77.2102177569415,50.379171187961,86.4205489767499,38.9588484035419,28.9959557514394,42.2413891371956,"2A"
301021011,46.8935032811659,40.9141539790166,62.8067941172465,26.3921021792563,22.1722118146688,31.0048482828258,"1A"
301021012,74.7346460587974,57.7849158115166,87.3731772739214,35.5900199078992,29.0823524133951,39.4399655665762,"2A"
301021013,87.7076507496161,64.4388239133536,99.1551957176679,39.5328343320217,31.8585658971683,43.3564750588345,"2A"
301021527,120.644126824261,69.4593994951311,123.802741560106,79.30129852901,41.7513324469921,100.548654925551,"3B"
301031014,48.2710762774728,33.4394589854724,72.9387240359783,35.5693034239575,24.2633958288412,53.9233645554049,"1A"
301031015,48.4985694640084,46.1578784091075,50.8247387340825,30.7936303200628,29.1031398327134,32.1546484441287,"1A"
301031016,42.9256639470639,37.5037758047845,46.2897040371141,27.4724639091336,24.4627885366885,29.2065107568948,"1A"
301031017,21.739817843757,19.292920908505,31.0144942709089,17.3294460392391,16.3594370757213,23.5066998499243,"1A"
