"SA1_CODE11","median_time_to_acute_care","min_time_to_acute_care","max_time_to_acute_care","median_time_to_rehab_care","min_time_to_rehab_care","max_time_to_rehab_care","iTRAQI_index"
30101100101,62.9996952184753,60.7040117115839,64.2183604447251,32.8768734140172,32.0492610729052,33.2494107255681,"2A"
30101100102,59.3248333353314,59.3248326083208,59.3248333353314,31.411159431163,31.4111591863592,31.411159431163,"1A"
30101100103,62.3985697239733,59.8734171781076,62.4470643401597,32.2950541648473,31.561850327051,32.3018886245785,"2A"
30101100104,68.5218593370381,68.4651020055806,69.0608492086484,35.841320259541,35.8212771503947,35.9441181253053,"2A"
30101100105,67.6176970574704,64.8965348863747,68.5785350601806,34.9400842190903,33.8724180190202,35.1794074495401,"2A"
30101100106,64.6090629342789,64.6090475475754,64.6090629342789,34.6319599399355,34.6319531609571,34.6319599399355,"2A"
30101100107,65.5382184899958,65.5382155251943,65.5445964859103,34.7915984171806,34.7915959834319,34.7940796904807,"2A"
30101100108,66.8328885730196,66.710906983698,66.8329028801433,35.2353400281619,35.1692046399569,35.2353465548334,"2A"
30101100109,63.6752537515436,63.6752466753414,65.4183236411585,33.8148556028584,33.8148521051257,34.5600699667693,"2A"
30101100110,64.1851188141059,64.1851188141059,64.1851229736827,34.2629837144226,34.2629837144226,34.2629868422512,"2A"
30101100111,62.481276359644,62.4812685676617,62.481276359644,33.6821692927344,33.6821656396944,33.6821692927344,"2A"
30101100112,60.6261962706852,60.6261934331577,60.6261962706852,32.6201668632291,32.6201667034753,32.6201668632291,"2A"
30101100113,60.5394625121125,60.5394625121125,60.5394641761325,32.6881542885812,32.6881534910453,32.6881542885812,"2A"
30101100114,61.8087282168476,61.8087268846915,61.908939599308,33.2027244497328,33.2027234191507,33.2169228083632,"2A"
30101100115,60.5394920568968,60.5394811472387,60.5394920568968,32.8520606310777,32.8520568353307,32.8520606310777,"2A"
30101100116,59.0065824812287,58.5364440172386,59.0068006467102,32.1041379194783,31.9103270515161,32.1042232250613,"1A"
30101100117,57.2555175780391,57.2551971133253,57.2555220221128,31.4087143614543,31.4085894940137,31.4087171207457,"1A"
30101100118,57.6226107203125,57.6225943509961,57.6226145631198,31.76229851938,31.7622907838786,31.7623000671258,"1A"
30101100119,58.8385647348994,58.8385450275201,58.8385778600016,32.2488057179319,32.2487973357011,32.248810977887,"1A"
30101100120,56.4678357929936,56.4678054615748,56.4678406851031,30.886457050115,30.8864454574568,30.8864589199051,"1A"
30101100121,55.7401069888513,55.7349484915612,55.7401070053488,30.4441914567833,30.4412642684648,30.4441915946384,"1A"
30101100122,55.5287737531746,55.5287699079713,55.5287737531746,30.2865392826234,30.2865378687422,30.2865392826234,"1A"
30101100123,58.4202011930234,58.4202011930234,58.420214919182,31.6568791721418,31.6568791721418,31.6568851407102,"1A"
30101100124,58.176661400682,58.0187710640151,58.17666646634,31.4582334279316,31.3675802997631,31.4582351460974,"1A"
30101100125,60.4547673916641,60.4547616304873,60.4547673916641,32.4539112075655,32.4539099077012,32.4539112075655,"2A"
30101100126,59.6693659477007,59.6693601026306,59.6693682150902,32.042847547741,32.0428453753668,32.0428491656194,"1A"
