"SA1_CODE21","value"
"30101100101",38.609066849038
"30101100102",37.535268593016
"30101100103",38.1908367359708
"30101100104",42.1000611827838
"30101100105",40.5385453130399
"30101100106",40.7579155003218
"30101100107",40.89531396586
"30101100108",41.5045873728657
"30101100109",39.5317561175056
"30101100110",40.3672379191672
"30101100111",39.7984384154475
"30101100112",38.6102931583472
"30101100113",38.6423162585423
"30101100114",39.2305323405494
"30101100115",38.7510576196991
"30101100116",38.070929507549
"30101100117",37.101115383263
"30101100118",37.5207816064247
"30101100119",38.0636403228621
"30101100120",36.3713533195806
"30101100121",36.1383981789827
"30101100122",36.2635506168134
"30101100123",37.6839912666753
"30101100124",37.3257161876902
"30101100125",38.5008043457279
"30101100126",37.9639030019696
"30101100127",38.0710145048974
"30101100128",38.6626354156945
"30101100129",38.2595692543305
"30101100130",39.6404969721129
"30101100131",38.9999147803729
"30101100132",39.8095168871552
"30101100133",39.3782502504375
"30101100134",37.2423733241004
"30101100135",37.7781845603579
"30101100136",36.7104889596954
"30101100137",38.0056521806365
"30101100138",37.4422380272703
"30101100139",37.5571120753884
"30101100140",37.0916426138914
"30101100141",38.1438733103691
"30101100142",38.8595319152555
"30101100143",40.3374524778043
"30101100144",36.5165399868938
"30101100145",41.5115762225423
"30101100201",31.3576905632189
"30101100202",29.4512436731446
"30101100203",27.7625644214572
"30101100204",24.9172303706138
"30101100205",28.6380354269536
"30101100206",33.2398289835266
"30101100207",30.6691364501409
"30101100208",27.5214592169028
"30101100209",29.0449830531512
"30101100210",26.779817752862
"30101100211",25.2170645180216
"30101100212",24.1929337973918
"30101100213",24.0409353302817
"30101100214",24.1149698326238
"30101100215",23.7321477641735
"30101100216",23.5085724960499
"30101100217",32.4863211299522
"30101100218",23.8435611559611
"30101100219",24.7212517919754
"30101100220",24.4370765303943
"30101100221",25.2259844363097
"30101100301",39.5649825627515
"30101100302",38.6723418880432
"30101100303",39.3973445358279
"30101100304",40.404431963087
"30101100305",37.941991919817
"30101100306",37.0285857019275
"30101100307",37.0748677549625
"30101100308",36.158343606435
"30101100309",36.0639558877941
"30101100310",35.2268227062277
"30101100311",37.3562239731399
"30101100312",39.0767986508602
"30101100313",38.5896862536151
"30101100314",38.1873396311346
"30101100315",38.3598505900098
"30101100316",37.8398149329307
"30101100317",38.6730233958928
"30101100318",38.0512446287864
"30101100319",37.0502932782457
"30101100320",36.4318097134972
"30101100321",38.2344541771567
"30101100322",38.8408405910767
"30101100323",39.1850528917228
"30101100324",40.2364660717259
"30101100325",39.7030586471374
"30101100326",35.0723213785017
"30101100327",39.5179436942124
"30101100328",39.101503581754
"30101100329",41.4021316826886
"30101100330",40.9220830747689
"30101100331",40.8990141848494
"30101100332",40.9111918056544
"30101100333",40.3748061864114
"30101100334",39.6156960862112
"30101100335",40.4768658385939
"30101100336",39.4013467743431
"30101100401",35.6799312079015
"30101100402",36.0350141964845
"30101100403",32.9087777751673
"30101100404",32.7084701969068
"30101100405",32.2816284117723
"30101100406",36.7702830486388
"30101100407",34.3303892920525
"30101100408",35.3794308263002
"30101100409",35.7647379766261
"30101100410",36.3476680364096
"30101100411",35.0760643313818
"30101100412",34.3736795995106
"30101100413",34.9309904133376
"30101100414",33.5793491643175
"30101100415",35.1840144458274
"30101100416",35.7314127415999
"30101100417",35.4665837618046
"30101100418",32.3542602910617
"30101100419",33.0180787807626
"30101100420",33.4189244137751
"30101100421",33.8198762068108
"30101100422",31.3517022943358
"30101100423",34.206922568033
"30101100424",33.4231113180612
"30101100425",34.2542354040752
"30101100426",34.1775240869081
"30101100428",34.6085036738036
"30101100429",34.8520380896307
"30101100430",35.3188501228339
"30101100431",36.2930966329218
"30101100432",32.32364785907
"30101100433",33.2910853823454
"30101100434",32.1837565712804
"30101100435",32.3644020655751
"30101100436",33.0554953730201
"30101100437",34.8741691251251
"30101100439",34.4695301656625
"30101100440",34.8761753685064
"30101100441",33.7552423422039
"30101100442",33.1961762114036
"30101100443",33.8022843614103
"30101100444",34.1728387598929
"30101100445",33.2413078601256
"30101100446",33.1444128973632
"30101100447",36.2708301191067
"30101100448",37.376199387527
"30101100501",36.9423084560897
"30101100502",37.0434800383524
"30101100503",38.0064181558462
"30101100504",38.2578773768138
"30101100505",37.4657398165898
"30101100506",36.9727741849254
"30101100507",36.2280500700635
"30101100508",36.8063939072038
"30101100509",36.9481461159974
"30101100510",35.8201762899063
"30101100601",41.9810899089889
"30101100602",40.7965307900311
"30101100603",42.7161069291793
"30101100604",43.7768512183391
"30101100605",43.7431360986631
"30101100606",43.0959997415038
"30101100607",43.7625168466057
"30101100609",42.7964761794198
"30101100610",42.1651316562399
"30101100611",42.8091764840663
"30101100612",43.493960529833
"30101100613",43.1710189574653
"30101100614",41.9359291806353
"30101100615",42.1884215691256
"30101100616",40.7843490770802
"30101100617",41.4415688209077
"30101100618",43.8882696968235
"30101100619",41.4217177023347
"30101100620",40.8877158608732
"30101100621",42.0578262848921
"30101100622",42.8249013909443
"30101100623",43.1121192870118
"30101100625",44.3968155192981
"30101100626",45.0963776913845
"30102100701",46.1170558205894
"30102100702",45.5923021944982
"30102100703",44.7139817276756
"30102100704",43.5741351512683
"30102100705",44.2489147838701
"30102100706",43.3143705648104
"30102100707",44.8775366594945
"30102100708",44.1595462157891
"30102100709",44.9739729189716
"30102100710",46.506801434082
"30102100711",45.4924910465556
"30102100712",43.3798984600875
"30102100713",42.6862853737983
"30102100714",43.4222531645797
"30102100715",44.20772431122
"30102100717",45.7113624447814
"30102100718",46.6290372674704
"30102100719",47.6598654452408
"30102100720",43.7803546219405
"30102100721",48.185814991128
"30102100722",46.2292769824197
"30102100723",46.7689192312272
"30102100724",48.0144691239346
"30102100726",47.3725486722807
"30102100727",46.5226290157244
"30102100728",45.205864413756
"30102100729",41.4276271030055
"30102100730",45.8517897927355
"30102100731",47.0651028218232
"30102100732",47.2773116801444
"30102100733",48.5743153984987
"30102100734",50.5990870174744
"30102100735",49.8411728137315
"30102100736",47.6953516792888
"30102100737",46.7855184720465
"30102100738",45.3663759977361
"30102100739",48.018829876651
"30102100740",48.5081829688419
"30102100741",48.6854220325253
"30102100742",49.1502408098806
"30102100801",45.7798904690532
"30102100803",45.5214042831899
"30102100804",44.2044287780972
"30102100805",43.1798912194299
"30102100806",45.3608016017471
"30102100808",43.2360898916127
"30102100809",46.4116736684441
"30102100811",45.7069159203099
"30102100812",45.0043577928216
"30102100813",44.6073161365157
"30102100814",46.2827863486359
"30102100815",45.2187226542094
"30102100901",46.4390697355935
"30102100902",47.530489533978
"30102100903",47.5032019840986
"30102100904",47.6809715094308
"30102100905",47.8932929042663
"30102100906",47.4698523199394
"30102100907",45.8672839481269
"30102100908",48.0108370849318
"30102100909",45.8878559327812
"30102100910",42.2872972340105
"30102100912",44.8884556983202
"30102100913",44.5601047551269
