"SA2_CODE21","value","min","max"
"301011001",60.5394920568968,55.5287699079713,69.0608492086484
"301011002",36.0620412341443,28.2269299413154,49.9838485279466
"301011003",59.1618695097694,49.77170940064,63.3243298202943
"301011004",51.3532027969926,44.9251101295196,59.1403902875497
"301011005",54.2985658302213,50.1701159121578,57.0875467854372
"301011006",67.26450496403,63.9678332396361,73.5483667851002
"301021007",79.3622968224318,69.9164044276116,88.3511900061901
"301021008",74.2159567358765,70.6451919296713,76.9022170559261
"301021009",77.2102177569415,50.379171187961,86.4205489767499
"301021011",46.8935032811659,40.9141539790166,62.8067941172465
"301021012",74.7346460587974,57.7849158115166,87.3731772739214
"301021013",87.7076507496161,64.4388239133536,99.1551957176679
"301021550",121.84903683631,82.4233098892216,123.802741560106
"301021551",112.33826469081,69.4593994951311,121.70405146247
"301031014",48.2710762774728,33.4394589854724,72.9387240359783
"301031015",48.4985694640084,46.1578784091075,50.8247387340825
"301031016",42.9256639470639,37.5037758047845,46.2897040371141
"301031017",21.739817843757,19.292920908505,31.0144942709089
"301031018",31.8883784388345,24.7297468038622,38.565063919136
"301031019",38.0378214080395,35.0020249887525,43.0811987499619
"301031020",43.3599866035447,39.197615653691,47.8349121890457
"301031021",37.4708760637924,27.9315693054439,42.0900327996897
"302011022",30.9028770656159,26.4852069060187,36.4459513220503
"302011023",22.6723267245398,19.9514366058006,27.3093013303839
"302011024",24.0739369262231,21.8775658967001,25.8121494875691
"302011025",15.140901292334,13.0974860493395,18.7217999972317
"302011026",18.0619649972473,15.8887398844,21.113919340093
"302021027",20.0472448931192,18.046510309323,22.1563190954223
"302021028",15.8164810505461,14.5833309449775,17.6844296995348
"302021029",16.5550911633806,14.8119430100368,18.1032960250067
"302021030",19.7067392213468,18.213283800595,22.1945433015038
"302021031",10.7585052200336,7.06797876114445,13.8621849313336
"302021032",10.989413261585,8.53355701326024,13.416049756718
"302021033",13.7333834727221,11.6525101757981,15.4691344965047
"302021034",16.1771550108085,13.1858591525108,18.5594372128604
"302031035",26.5348464182916,23.8595306071154,31.3914510070202
"302031036",32.2889413567756,17.3931217181891,43.8878067233913
"302031037",18.9637126092692,14.137280094162,28.8024602089712
"302031038",20.327551756828,18.1265085491673,23.4272940876278
"302031039",25.5614638983294,22.6614070069172,34.1206310098937
"302031040",15.8695819401343,13.5819936224264,18.6069913593347
"302041041",29.3765034181635,27.4100001565588,32.7970813074232
"302041042",34.9108705548879,32.7343476585862,37.9657477728737
"302041043",30.2751530436362,28.9519756085745,31.8558620377184
"302041044",33.2616167196745,31.6930305890607,34.2674608168036
"302041045",25.630128636362,23.6896209044399,28.4484957525646
"302041046",22.6239769803018,20.8252063073272,24.4315905773188
"303011047",18.3485292087075,15.2844777451194,20.5536740404538
"303011048",18.4502512348902,16.9242185867802,25.288049214761
"303011049",21.3403961823527,19.4724906856996,28.0999875887686
"303011050",22.2149272627422,20.8738322664604,23.8903795495725
"303011051",27.4100782293675,24.0891220096647,30.4851041414032
"303021052",15.6651450728329,13.6895778072929,17.3350621841125
"303021053",15.7101241645551,12.8761170192968,19.7385795076176
"303021054",13.9088541204535,11.7476406939213,15.2360620010179
"303021055",15.7704225238946,13.8397711755045,17.2366626814008
"303021056",20.090150834051,17.3108684823713,22.150813951427
"303021057",20.3540681111037,17.5395174457764,21.8757096246406
"303021058",12.4171074709572,11.2206723275253,13.7049614942498
"303021059",16.6671294767541,14.8886262563061,19.579597657158
"303031060",29.252284050515,27.7952427488484,32.551382513267
"303031061",26.1593343751853,24.4956381403289,27.6047732090067
"303031062",26.8385254315514,25.3506186153853,30.3995548782834
"303031063",23.6255379786333,21.6123566985373,25.6735906884792
"303031064",33.4307002091045,30.3478741182648,45.3875534387374
"303031065",25.8960625186468,23.0455427452961,27.5285955139711
"303031066",28.3697090795717,26.9039945049815,30.1174558246035
"303041067",23.9008727212026,22.9239439399115,25.3439521522263
"303041068",18.9274016904137,17.4994751279719,20.4026809321175
"303041069",24.7085649248345,23.9010844283688,25.6410634885816
"303041070",21.7201654796695,19.8397415385905,24.1941337381656
"303041071",18.4907378980217,16.5608041677812,20.6988999355971
"303051072",30.1705044569872,28.5116939590692,31.7353600951005
"303051073",32.0920351768815,29.7626667966604,36.4678398010176
"303051074",32.4170322264674,25.2102675588649,35.5814106492485
"303051075",33.5156172720281,32.0356048786815,36.4143368025277
"303051076",25.515576438404,19.7201177095224,27.6260137850687
"303061077",32.2167399870507,31.5793889828973,33.3185387258981
"303061078",30.3351385014046,28.1211606834705,31.3382146978856
"303061079",26.8045774812929,24.990558944872,27.8680859147178
"303061080",28.8089344191126,25.7315308991355,30.5643386536457
