"id","town_name","x","y","centre","minutes"
1087,"Lucinda",146.3337,-18.52889,"Townsville University Hospital",95.78898402
1088,"Halifax",146.2856,-18.58094,"Townsville University Hospital",88.62110909
1089,"Macknade",146.2605,-18.58664,"Townsville University Hospital",87.42525437
1090,"Taylors Beach",146.3273,-18.62407,"Townsville University Hospital",93.48412274
1091,"Trebonne",146.0781,-18.62689,"Townsville University Hospital",80.53296272
1092,"Ingham",146.1581,-18.64706,"Townsville University Hospital",75.33067823
1093,"Allingham",146.2953,-18.70771,"Townsville University Hospital",87.7786455
1094,"Palm Island",146.6058,-18.72665,"Townsville University Hospital",284.3648964
1095,"Balgal Beach",146.4083,-19.01722,"Townsville University Hospital",40.98592217
1096,"Horseshoe Bay",146.8597,-19.11815,"Townsville University Hospital",70.42251091
1097,"Toolakea",146.5788,-19.14605,"Townsville University Hospital",28.14502335
1098,"Arcadia Bay",146.8651,-19.14853,"Townsville University Hospital",66.25233923
1099,"Nelly Bay",146.8484,-19.15696,"Townsville University Hospital",64.50439318
1100,"Saunders Beach",146.6098,-19.15875,"Townsville University Hospital",24.8172253
1101,"Bluewater",146.5589,-19.1675,"Townsville University Hospital",24.33048709
1102,"Picnic Bay",146.8379,-19.17814,"Townsville University Hospital",67.93645744
1103,"Yabulu",146.5851,-19.20155,"Townsville University Hospital",20.55597816
1104,"Pallarenda",146.773,-19.20234,"Townsville University Hospital",20.55136238
1105,"Bluewater Park",146.5138,-19.20308,"Townsville University Hospital",27.82355798
1106,"Black River",146.618,-19.23302,"Townsville University Hospital",17.40782956
1107,"Townsville",146.8092,-19.26508,"Townsville University Hospital",15.43296472
1108,"Rangewood",146.6392,-19.31192,"Townsville University Hospital",13.49819877
1109,"Alice River",146.6023,-19.32778,"Townsville University Hospital",16.00790769
1110,"Nome",146.9099,-19.37372,"Townsville University Hospital",17.938261
1111,"Cungulla",147.1112,-19.40128,"Townsville University Hospital",34.92663311
1112,"Alligator Creek",146.9432,-19.42302,"Townsville University Hospital",23.91320446
1113,"Alva Beach",147.4799,-19.45506,"Townsville University Hospital",75.38588839
1114,"Giru",147.1066,-19.51333,"Townsville University Hospital",39.88493742
1115,"Kalamia Estate",147.4184,-19.53428,"Townsville University Hospital",67.14997686
1116,"Brandon",147.3554,-19.55389,"Townsville University Hospital",55.77882303
1117,"Ayr",147.4056,-19.57545,"Townsville University Hospital",61.79092973
1118,"Home Hill",147.4144,-19.66043,"Townsville University Hospital",70.87277856
1119,"Camooweal",138.119,-19.92248,"Central West Sub-Acute Service",543.87424823
1120,"Bowen",148.2418,-20.01494,"Townsville University Hospital",136.0164966
1121,"Merinda",148.1648,-20.01751,"Townsville University Hospital",128.9773991
1122,"Charters Towers",146.2598,-20.07699,"Townsville University Hospital",90.71172953
1123,"Hideaway Bay - Dingo Beach",148.4886,-20.08489,"Townsville University Hospital",183.9408397
1124,"Ravenswood",146.8898,-20.10146,"Townsville University Hospital",82.7330207
1125,"Airlie Beach",148.7132,-20.26829,"Townsville University Hospital",187.9391187
1126,"Cannonvale",148.6962,-20.2769,"Townsville University Hospital",184.2158004
1128,"Mount Julian",148.6196,-20.37468,"Townsville University Hospital",176.5526797
1129,"Proserpine",148.5821,-20.40489,"Townsville University Hospital",175.0745524
1130,"Collinsville",147.8441,-20.55341,"Townsville University Hospital",180.8340175
1131,"Scottville",147.8184,-20.57206,"Townsville University Hospital",184.6055052
1132,"Midge Point",148.7213,-20.65029,"Townsville University Hospital",197.2785208
1133,"Julia Creek",141.7435,-20.65701,"Central West Sub-Acute Service",301.29055709
1134,"Cloncurry",140.5092,-20.70554,"Central West Sub-Acute Service",343.07851912
1135,"Mount Isa",139.4993,-20.73044,"Central West Sub-Acute Service",423.92631159
1136,"Richmond",143.1423,-20.73186,"Townsville University Hospital",338.2240319
1137,"Hughenden",144.1992,-20.84553,"Townsville University Hospital",258.6784947
1138,"Seaforth",148.9607,-20.89524,"Rockhampton Hospital",246.39448943
1139,"Calen",148.7716,-20.89849,"Townsville University Hospital",217.8878607
1140,"Haliday Bay - Ball Bay",148.9879,-20.90075,"Rockhampton Hospital",245.97088899
1141,"Killarney",152.2963,-28.33305,"Brain Injury Rehabilitation Unit",125.95798438
1142,"Nindaroo",149.1636,-21.05945,"Rockhampton Hospital",229.34708887
1143,"Farleigh",149.1017,-21.10705,"Rockhampton Hospital",220.48572924
1144,"Erakala",149.1071,-21.12326,"Rockhampton Hospital",222.3588302
1145,"Finch Hatton",148.6313,-21.14165,"Rockhampton Hospital",255.98721942
1146,"Marian",148.9428,-21.14558,"Rockhampton Hospital",229.87953315
1147,"Mackay",149.1664,-21.15497,"Rockhampton Hospital",215.6899828
1148,"Mirani",148.8653,-21.16023,"Rockhampton Hospital",237.06420564
1149,"Walkerston",149.0554,-21.16249,"Rockhampton Hospital",220.82007674
1150,"Bakers Creek",149.1521,-21.20776,"Rockhampton Hospital",210.81883882
1151,"Eton",148.9732,-21.26365,"Rockhampton Hospital",219.35943651
1152,"Hay Point",149.2905,-21.29652,"Rockhampton Hospital",208.43289989
1153,"Glenden",148.1138,-21.35315,"Townsville University Hospital",258.0834264
1154,"Grasstree Beach",149.3067,-21.36404,"Rockhampton Hospital",204.02577632
1155,"Campwin Beach",149.313,-21.37793,"Rockhampton Hospital",202.39703644
1156,"Sarina Beach",149.3095,-21.38995,"Rockhampton Hospital",201.46178718
1157,"Sarina",149.216,-21.4206,"Rockhampton Hospital",190.35496875
1158,"Armstrong Beach",149.2873,-21.45078,"Rockhampton Hospital",194.05207369
1159,"Nebo",148.6917,-21.69028,"Rockhampton Hospital",214.55224867
1160,"Moranbah",148.0456,-22.0039,"Rockhampton Hospital",265.19182169
1161,"Winton",143.0414,-22.38676,"Central West Sub-Acute Service",114.36301195
1162,"Dysart",148.3481,-22.58982,"Rockhampton Hospital",211.79335019
1163,"Middlemount",148.7039,-22.81426,"Rockhampton Hospital",177.01210816
1164,"Clermont",147.6374,-22.82681,"Rockhampton Hospital",246.29040985
1165,"Byfield",150.6508,-22.85074,"Rockhampton Hospital",56.45769829
1166,"Boulia",139.9082,-22.91287,"Central West Sub-Acute Service",378.48361835
1167,"Aramac",145.2439,-22.9698,"Central West Sub-Acute Service",112.5143482
1168,"Tieri",148.3497,-23.03219,"Rockhampton Hospital",199.69264408
1169,"Capella",148.0248,-23.08513,"Rockhampton Hospital",209.42418575
1170,"Yeppoon",150.7431,-23.12635,"Rockhampton Hospital",35.90287885
1171,"The Caves",150.4661,-23.17545,"Rockhampton Hospital",24.76395602
1172,"Mulambin",150.7857,-23.19155,"Rockhampton Hospital",41.3604664
1173,"Kinka Beach",150.7876,-23.2243,"Rockhampton Hospital",35.23921906
1174,"Glendale",150.4751,-23.24572,"Rockhampton Hospital",22.422212
1175,"Emu Park",150.8238,-23.25994,"Rockhampton Hospital",36.13429697
1176,"Keppel Sands",150.7919,-23.3275,"Rockhampton Hospital",32.82274113
1177,"Rockhampton",150.4974,-23.38918,"Rockhampton Hospital",1.86470576
1178,"Rubyvale",147.6974,-23.42054,"Rockhampton Hospital",216.3468844
1179,"Gracemere",150.4558,-23.43865,"Rockhampton Hospital",11.54859867
1180,"Longreach",144.2475,-23.44447,"Central West Sub-Acute Service",2.83288323
1181,"Sapphire",147.7193,-23.46006,"Rockhampton Hospital",210.28365591
1182,"Emerald",148.1598,-23.52349,"Rockhampton Hospital",175.09618326
1183,"Barcaldine",145.2854,-23.55288,"Central West Sub-Acute Service",68.16540437
1184,"Blackwater",148.8834,-23.5779,"Rockhampton Hospital",127.06116908
1185,"Bouldercombe",150.4668,-23.57818,"Rockhampton Hospital",18.73935771
1186,"Bluff",149.0695,-23.57993,"Rockhampton Hospital",113.6529587
1187,"Mount Morgan",150.3881,-23.64464,"Rockhampton Hospital",33.15940248
1188,"Dingo",149.3315,-23.64629,"Rockhampton Hospital",95.5838742
1189,"Alpha",146.6387,-23.65028,"Central West Sub-Acute Service",154.18488032
1190,"Duaringa",149.6687,-23.71846,"Rockhampton Hospital",73.39737688
1191,"Willows Gemfields",147.5411,-23.73932,"Central West Sub-Acute Service",222.21981895
1192,"Mount Larcom",150.9799,-23.8124,"Rockhampton Hospital",50.70530703
1193,"Gladstone",151.2578,-23.84753,"Rockhampton Hospital",76.24578192
1194,"Tannum Sands",151.3685,-23.94867,"Rockhampton Hospital",91.34000076
1195,"Wurdong Heights",151.3025,-23.98485,"Rockhampton Hospital",82.23197278
1196,"Calliope",151.213,-23.99655,"Rockhampton Hospital",72.98787469
1197,"Benaraby",151.3256,-24.00187,"Rockhampton Hospital",81.87879932
1198,"Springsure",148.0891,-24.11595,"Roma Hospital",213.75455657
1199,"Woorabinda",149.4575,-24.1306,"Rockhampton Hospital",110.80360343
1200,"Seventeen Seventy",151.8855,-24.16343,"Rockhampton Hospital",156.73840221
1201,"Baralaba",149.8114,-24.17958,"Rockhampton Hospital",100.2129985
1202,"Agnes Water",151.9008,-24.21017,"Rockhampton Hospital",149.81857206
1203,"Taylors Creek",149.1545,-24.25325,"Rockhampton Hospital",138.86237034
1204,"Miriam Vale",151.5583,-24.328,"Rockhampton Hospital",112.45634801
1205,"Biloela",150.5098,-24.39602,"Rockhampton Hospital",98.37953085
1206,"Blackall",145.4645,-24.42336,"Central West Sub-Acute Service",134.30613794
1207,"Thangool",150.5751,-24.48738,"Rockhampton Hospital",107.33412866
1208,"Moura",149.9719,-24.57498,"Rockhampton Hospital",118.33194804
1209,"Moore Park",152.2757,-24.71776,"Gympie Hospital",150.00470182
1210,"Burnett Heads",152.4149,-24.76892,"Gympie Hospital",139.22819548
1211,"Bargara",152.4607,-24.81453,"Gympie Hospital",138.37847448
1212,"Gooburrum",152.345,-24.81685,"Gympie Hospital",138.41607913
1213,"Sloping Hummock",152.4252,-24.8436,"Gympie Hospital",133.68255
1214,"Oakwood",152.298,-24.85082,"Gympie Hospital",135.7129896
1215,"Monto",151.1207,-24.86547,"Rockhampton Hospital",159.52863455
1216,"Bundaberg",152.3444,-24.87052,"Gympie Hospital",130.99957899
