"id","town_name","x","y","rehab_centre","minutes"
1097,"Toolakea",146.5788,-19.14605,"Townsville University Hospital",28.14502335
1098,"Arcadia Bay",146.8651,-19.14853,"Townsville University Hospital",66.25233923
1099,"Nelly Bay",146.8484,-19.15696,"Townsville University Hospital",64.50439318
1100,"Saunders Beach",146.6098,-19.15875,"Townsville University Hospital",24.8172253
1101,"Bluewater",146.5589,-19.1675,"Townsville University Hospital",24.33048709
1102,"Picnic Bay",146.8379,-19.17814,"Townsville University Hospital",67.93645744
1103,"Yabulu",146.5851,-19.20155,"Townsville University Hospital",20.55597816
1104,"Pallarenda",146.773,-19.20234,"Townsville University Hospital",20.55136238
1105,"Bluewater Park",146.5138,-19.20308,"Townsville University Hospital",27.82355798
1106,"Black River",146.618,-19.23302,"Townsville University Hospital",17.40782956
1107,"Townsville",146.8092,-19.26508,"Townsville University Hospital",15.43296472
1108,"Rangewood",146.6392,-19.31192,"Townsville University Hospital",13.49819877
1109,"Alice River",146.6023,-19.32778,"Townsville University Hospital",16.00790769
1110,"Nome",146.9099,-19.37372,"Townsville University Hospital",17.938261
1111,"Cungulla",147.1112,-19.40128,"Townsville University Hospital",34.92663311
1112,"Alligator Creek",146.9432,-19.42302,"Townsville University Hospital",23.91320446
1113,"Alva Beach",147.4799,-19.45506,"Townsville University Hospital",75.38588839
1114,"Giru",147.1066,-19.51333,"Townsville University Hospital",39.88493742
1115,"Kalamia Estate",147.4184,-19.53428,"Townsville University Hospital",67.14997686
1116,"Brandon",147.3554,-19.55389,"Townsville University Hospital",55.77882303
1117,"Ayr",147.4056,-19.57545,"Townsville University Hospital",61.79092973
1118,"Home Hill",147.4144,-19.66043,"Townsville University Hospital",70.87277856
1119,"Camooweal",138.119,-19.92248,"Central West Sub-Acute Service",631.444940265
1120,"Bowen",148.2418,-20.01494,"Townsville University Hospital",136.0164966
1121,"Merinda",148.1648,-20.01751,"Townsville University Hospital",128.9773991
1122,"Charters Towers",146.2598,-20.07699,"Townsville University Hospital",90.71172953
1123,"Hideaway Bay - Dingo Beach",148.4886,-20.08489,"Townsville University Hospital",183.9408397
1124,"Ravenswood",146.8898,-20.10146,"Townsville University Hospital",82.7330207
1125,"Airlie Beach",148.7132,-20.26829,"Townsville University Hospital",187.9391187
1126,"Cannonvale",148.6962,-20.2769,"Townsville University Hospital",184.2158004
1128,"Mount Julian",148.6196,-20.37468,"Townsville University Hospital",176.5526797
1129,"Proserpine",148.5821,-20.40489,"Townsville University Hospital",175.0745524
1130,"Collinsville",147.8441,-20.55341,"Townsville University Hospital",180.8340175
1131,"Scottville",147.8184,-20.57206,"Townsville University Hospital",184.6055052
1132,"Midge Point",148.7213,-20.65029,"Townsville University Hospital",197.2785208
1133,"Julia Creek",141.7435,-20.65701,"Central West Sub-Acute Service",369.235802145
1134,"Cloncurry",140.5092,-20.70554,"Central West Sub-Acute Service",435.48477666
1135,"Mount Isa",139.4993,-20.73044,"Central West Sub-Acute Service",514.618390395
1136,"Richmond",143.1423,-20.73186,"Townsville University Hospital",338.2240319
1137,"Hughenden",144.1992,-20.84553,"Townsville University Hospital",258.6784947
1138,"Seaforth",148.9607,-20.89524,"Rockhampton Hospital",247.621649915
1139,"Calen",148.7716,-20.89849,"Townsville University Hospital",217.8878607
1140,"Haliday Bay - Ball Bay",148.9879,-20.90075,"Rockhampton Hospital",247.198075645
1141,"Killarney",152.2963,-28.33305,"Brain Injury Rehabilitation Unit",125.95798438
1142,"Nindaroo",149.1636,-21.05945,"Rockhampton Hospital",244.484014885
1143,"Farleigh",149.1017,-21.10705,"Rockhampton Hospital",233.09900522
1144,"Erakala",149.1071,-21.12326,"Rockhampton Hospital",234.99413705
1145,"Finch Hatton",148.6313,-21.14165,"Rockhampton Hospital",257.83189301
1146,"Marian",148.9428,-21.14558,"Rockhampton Hospital",235.855098075
1147,"Mackay",149.1664,-21.15497,"Rockhampton Hospital",236.02468955
1148,"Mirani",148.8653,-21.16023,"Rockhampton Hospital",242.72155027
1149,"Walkerston",149.0554,-21.16249,"Rockhampton Hospital",234.82823202
1150,"Bakers Creek",149.1521,-21.20776,"Rockhampton Hospital",234.74028601
1151,"Eton",148.9732,-21.26365,"Rockhampton Hospital",236.263856255
1152,"Hay Point",149.2905,-21.29652,"Rockhampton Hospital",242.673954695
1153,"Glenden",148.1138,-21.35315,"Townsville University Hospital",258.0834264
1154,"Grasstree Beach",149.3067,-21.36404,"Rockhampton Hospital",240.57793501
1155,"Campwin Beach",149.313,-21.37793,"Rockhampton Hospital",240.46688967
1156,"Sarina Beach",149.3095,-21.38995,"Rockhampton Hospital",239.54132044
1157,"Sarina",149.216,-21.4206,"Rockhampton Hospital",232.577329225
1158,"Armstrong Beach",149.2873,-21.45078,"Rockhampton Hospital",239.112385945
1159,"Nebo",148.6917,-21.69028,"Rockhampton Hospital",254.741242785
1160,"Moranbah",148.0456,-22.0039,"Rockhampton Hospital",310.752506445
1161,"Winton",143.0414,-22.38676,"Central West Sub-Acute Service",258.853697925
1162,"Dysart",148.3481,-22.58982,"Rockhampton Hospital",296.541378695
1163,"Middlemount",148.7039,-22.81426,"Rockhampton Hospital",281.91979288
1164,"Clermont",147.6374,-22.82681,"Rockhampton Hospital",287.519724575
1165,"Byfield",150.6508,-22.85074,"Rockhampton Hospital",263.80328089
1166,"Boulia",139.9082,-22.91287,"Central West Sub-Acute Service",520.755672475
1167,"Aramac",145.2439,-22.9698,"Central West Sub-Acute Service",367.74447295
1168,"Tieri",148.3497,-23.03219,"Rockhampton Hospital",293.43825514
1169,"Capella",148.0248,-23.08513,"Rockhampton Hospital",284.575564025
1170,"Yeppoon",150.7431,-23.12635,"Rockhampton Hospital",243.385708575
1171,"The Caves",150.4661,-23.17545,"Rockhampton Hospital",232.311171995
1172,"Mulambin",150.7857,-23.19155,"Rockhampton Hospital",247.906584575
1173,"Kinka Beach",150.7876,-23.2243,"Rockhampton Hospital",241.8253076
1174,"Glendale",150.4751,-23.24572,"Rockhampton Hospital",229.97914471
1175,"Emu Park",150.8238,-23.25994,"Rockhampton Hospital",242.716798795
1176,"Keppel Sands",150.7919,-23.3275,"Rockhampton Hospital",239.445456865
1177,"Rockhampton",150.4974,-23.38918,"Rockhampton Hospital",208.663866155
1178,"Rubyvale",147.6974,-23.42054,"Rockhampton Hospital",306.2224806
1179,"Gracemere",150.4558,-23.43865,"Rockhampton Hospital",212.795899065
1180,"Longreach",144.2475,-23.44447,"Central West Sub-Acute Service",259.156003615
1181,"Sapphire",147.7193,-23.46006,"Rockhampton Hospital",306.322512455
1182,"Emerald",148.1598,-23.52349,"Rockhampton Hospital",284.72946483
1183,"Barcaldine",145.2854,-23.55288,"Central West Sub-Acute Service",325.739498085
1184,"Blackwater",148.8834,-23.5779,"Rockhampton Hospital",286.50562309
1185,"Bouldercombe",150.4668,-23.57818,"Rockhampton Hospital",217.954923145
1186,"Bluff",149.0695,-23.57993,"Rockhampton Hospital",285.8130312
1187,"Mount Morgan",150.3881,-23.64464,"Rockhampton Hospital",232.199321255
1188,"Dingo",149.3315,-23.64629,"Rockhampton Hospital",281.658111
1189,"Alpha",146.6387,-23.65028,"Central West Sub-Acute Service",320.02265546
1190,"Duaringa",149.6687,-23.71846,"Rockhampton Hospital",275.534958775
1191,"Willows Gemfields",147.5411,-23.73932,"Central West Sub-Acute Service",327.670350625
1192,"Mount Larcom",150.9799,-23.8124,"Rockhampton Hospital",209.41189694
1193,"Gladstone",151.2578,-23.84753,"Rockhampton Hospital",216.01722012
1194,"Tannum Sands",151.3685,-23.94867,"Rockhampton Hospital",216.63799335
1195,"Wurdong Heights",151.3025,-23.98485,"Rockhampton Hospital",211.428150405
1196,"Calliope",151.213,-23.99655,"Rockhampton Hospital",210.71790436
1197,"Benaraby",151.3256,-24.00187,"Rockhampton Hospital",209.834913
1198,"Springsure",148.0891,-24.11595,"Roma Hospital",326.638695785
1199,"Woorabinda",149.4575,-24.1306,"Rockhampton Hospital",294.08899174
1200,"Seventeen Seventy",151.8855,-24.16343,"Rockhampton Hospital",244.91759271
1201,"Baralaba",149.8114,-24.17958,"Rockhampton Hospital",275.578490295
1202,"Agnes Water",151.9008,-24.21017,"Rockhampton Hospital",238.10845874
